NRScode,Station,Latitude,Longitude,SampleDateLocal,Year,Month,Day,Time_24hr,Centric diatom,Ciliate,Cyanobacteria,Dinoflagellate,Flagellate,Foraminifera,Pennate diatom,Radiozoa,Silicoflagellate
ROT20190306,Rottnest Island,-32,115.41667,2019-03-06T10:24:00Z,2019,3,6,10:24:00,12717508.947449,17941567.0615986,0,14901309.367619,23597543.9342404,0,2323547.95918367,0,333927.508503401
PHB20190227,Port Hacking,-34.11923,151.22667,2019-02-28T10:35:00Z,2019,2,28,10:35:00,96028472.5717516,0,0,10703544.1049708,4162377.10160819,0,21929.8245614035,0,0
ROT20190221,Rottnest Island,-32,115.41667,2019-02-21T09:30:00Z,2019,2,21,09:30:00,27440265.2391304,2909951.09330842,0,2043119.14841927,3877188.74547101,0,2066402.7173913,0,0
DAR20190213_2130,Darwin,-12.4,130.76805,2019-02-14T07:00:00Z,2019,2,14,07:00:00,21826254.4375,392698.75,0,0,0,0,375000,0,102265.299479167
YON20190213,Yongala,-19.30847,147.61842,2019-02-13T10:26:00Z,2019,2,13,10:26:00,901824530.851715,31853963.0615593,107153565.65507,104920037.013323,37378349.6449818,1240203.30619294,75796083.784604,0,0
ROT20190125,Rottnest Island,-32,115.41667,2019-01-25T09:35:00Z,2019,1,25,09:35:00,4259932.14853671,3412739.13690476,779164.186507937,12697334.3830952,7791641.86507937,0,3020252.41174603,0,0
YON20190124,Yongala,-19.30847,147.61842,2019-01-24T11:12:00Z,2019,1,24,11:12:00,614705550.945192,17638749.0617628,3213584.77083333,19102693.0813675,13817178.2407407,0,5301202.18205128,0,0
PHB20190121,Port Hacking,-34.11923,151.22667,2019-01-22T09:43:00Z,2019,1,22,09:43:00,751036359.375,67319785.7142857,0,836370603.285898,18577671.6346154,0,13807142.8571429,0,0
NSI20190118,North Stradbroke,-27.345,153.562,2019-01-18T10:40:00Z,2019,1,18,10:40:00,3698952361.72301,10707532.3790048,9757238.8803681,81656016.6859236,2810727.24948875,0,2955436.26448534,0,0
MAI20190106,Maria Island,-42.59667,148.23333,2019-01-07T08:50:00Z,2019,1,7,08:50:00,32266815.115285,34108074.4274266,0,2724901192.04478,4408535.18998273,0,7995664.24870466,0,169559.045768567
PHB20181218,Port Hacking,-34.11923,151.22667,2018-12-19T09:40:00Z,2018,12,19,09:40:00,2216976702.51302,190450821.609028,0,332665583.091667,17962331.712963,0,240570520.833333,0,0
