NRScode,Station,Latitude,Longitude,SampleDateLocal,StationDepth_m,SampleDepth_m,Year,Month,Day,Time_24hr,SampleDateUTC,Biomass_mgm3,Secchi_m,Silicate_umol_L,Phosphate_umol_L,Ammonium_umol_L,Nitrate_umol_L,Nitrite_umol_L,Oxygen_umol_L,TCO2_umol_kg,TAlkalinity_umol_kg,Salinity,Prochlorococcus_cells_ml,Synecochoccus_cells_ml,Picoeukaryotes_cells_ml,CPHL_C3,MG_DVP,CPHL_C2,CPHL_C1,CPHL_C1C2,CPHLIDE_A,PHIDE_A,PERID,PYROPHIDE_A,BUT_FUCO,FUCO,NEO,KETO_HEX_FUCO,PRAS,VIOLA,HEX_FUCO,ASTA,DIADCHR,DIADINO,DINO,ANTH,ALLO,MYXO,DIATO,ZEA,LUT,CANTHA,GYRO,DV_CPHL_B,CPHL_B,DV_CPHL_B_AND_CPHL_B,DV_CPHL_A,CPHL_A,DV_CPHL_A_AND_CPHL_A,ECHIN,PHYTIN_B,PHYTIN_A,LYCO,BETA_EPI_CAR,BETA_BETA_CAR,ALPHA_BETA_CAR,PYROPHYTIN_A,TSS_mg_L,InorganicFraction_mg_L,OrganicFraction_mg_L,CTDDensity_kgm3,CTDTemperature,CTDPAR_umolm2s,CTDConductivity_sm,CTDSalinity,CTDChlF_mgm3,CTDTurbidity_ntu
NSI20110915,North Stradbroke,-27.345,153.562,2011-09-15 11:10:00,60,10,2011,9,15,11:10:00,2011-09-15T01:10:00Z,,,0.2,0.08,0.06,0,,,2008.08,2328.3,35.561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.9325,21.0717,,4.970238,35.552,0.249,0.087
KAI20111026,Kangaroo Island,-35.83217,136.44733,2011-10-26 14:40:00,110,50,2011,10,26,14:40:00,2011-10-26T04:10:00Z,,,0.7,0.73,0.09,0.7,,,2095.69,2354.9,35.897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1026.672,15.9029,,4.482087,35.887,0.1888,0.3838
KAI20111026,Kangaroo Island,-35.83217,136.44733,2011-10-26 14:40:00,110,90,2011,10,26,14:40:00,2011-10-26T04:10:00Z,,,1.1,0.19,0.24,0.7,,,2112.75,2358.91,36.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1027.0205,15.6524,,4.475078,36.0361,0.3693,0.2421
KAI20111115,Kangaroo Island,-35.83217,136.44733,2011-11-15 11:30:00,110,75,2011,11,15,11:30:00,2011-11-15T01:00:00Z,,,0.4,0.11,0,0.2,,,2111.51,2367.7,36.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1026.8774,15.9538,,4.5043,36.0301,0.33,0.3755
DAR20120417,Darwin,-12.4,130.76805,2012-04-17 09:42:00,25,0,2012,4,17,09:42:00,2012-04-17T00:12:00Z,,,3.6,0.2,0.12,0.2,,,1889.47,2155.57,32.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.45,2.75,1.1,,,,,,,
DAR20120729_19:30,Darwin,-12.4,130.76805,2012-07-30 05:00:00,25,0,2012,7,30,05:00:00,2012-07-29T19:30:00Z,,,9,0.17,0.06,0,,,1977.25,2279.07,34.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,9.35,2.75,,,,,,,
MAI20120621,Maria Island,-42.59667,148.23333,2012-06-21 11:00:00,86,50,2012,6,21,11:00:00,2012-06-21T01:00:00Z,,,1.9,0.15,0.08,2.6,,264.3,2093.47,2323.11,35.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1026.7719,13.4214,,4.172494,35.3108,0.2381,0.2589
MAI20120724,Maria Island,-42.59667,148.23333,2012-07-24 10:50:00,86,20,2012,7,24,10:50:00,2012-07-24T00:50:00Z,,,1.8,0.15,0.09,2.9,,262,2097.08,2328.09,35.348,,,,0.024,0,0.051,0,,0,0,0,0,0.035,0.033,0.009,0,0.023,0.007,0.066,0,0,0.013,0,0,0.008,0,0,0.007,0,0,0,0,0.082,0.082,0,0.363,0.363,0,0,0,0,,,0.008,0,,,,,,,,,,
MAI20120724,Maria Island,-42.59667,148.23333,2012-07-24 10:50:00,86,30,2012,7,24,10:50:00,2012-07-24T00:50:00Z,,,1.8,0.16,0,2.9,,262,2092.18,2325.71,35.347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAI20120820,Maria Island,-42.59667,148.23333,2012-08-20 11:15:00,86,10,2012,8,20,11:15:00,2012-08-20T01:15:00Z,,,0.8,0.28,0.12,3.1,,268.6,2096.83,2322.29,35.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1026.815,12.1811,,4.046478,35.2795,0.1561,0.2317
MAI20120820,Maria Island,-42.59667,148.23333,2012-08-20 11:15:00,86,50,2012,8,20,11:15:00,2012-08-20T01:15:00Z,,,0.8,0.32,0.12,3.2,,268.5,2098.75,2323.38,35.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1027.0033,12.1478,,4.044978,35.2785,0.2847,0.2268
NSI20120229,North Stradbroke,-27.345,153.562,2012-03-01 09:45:00,60,20,2012,3,1,09:45:00,2012-02-29T23:45:00Z,,,2.3,0.08,0.06,0,,,,,35.093,,,,0,0,0.006,0,,0.013,0,0,0,0.004,0.008,0.009,0,0.003,0.002,0.005,0.004,0,0.002,0,0.005,0,0,0,0.071,0.023,0,0,0,0.037,0.037,0.038,0.135,0.173,0,0,0,0,,,0.013,0,,,,1023.2214,25.6822,,5.38926,35.0726,0.2366,0.2023
NSI20120620,North Stradbroke,-27.345,153.562,2012-06-20 10:20:00,60,57,2012,6,20,10:20:00,2012-06-20T00:20:00Z,,,1,0.21,0.23,4.7,,,2065.05,2327.58,35.559,,,,0.007,0,0.008,0,,0,0,0,0,0.005,0.013,0,0,0,0,0.009,0,0,0.002,0,0,0,0,0,0.004,0,0,0,0,0.006,0.006,0.009,0.045,0.054,0,0,0,0,,,0.002,0,,,,1025.4019,19.976,,4.855216,35.5198,0.3543,0.0563
NSI20120821,North Stradbroke,-27.345,153.562,2012-08-21 10:15:00,60,10,2012,8,21,10:15:00,2012-08-21T00:15:00Z,,,0.4,0.11,0.15,0.3,,,2012.79,2330.2,35.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.9044,21.0729,,4.96493,35.5084,0.3879,
NSI20120912,North Stradbroke,-27.345,153.562,2012-09-12 10:20:00,60,20,2012,9,12,10:20:00,2012-09-12T00:20:00Z,,,0,0.13,0.15,0,,,,,35.522,,,,0.018,0,0.02,0,,0.024,0,0,0,0.007,0.034,0,0,0,0,0.018,0,0,0.006,0,0,0,0,0,0.008,0,0,0,0,0.007,0.007,0,0.097,0.097,0,0,0,0,,,0.003,0,,,,1024.979,20.9569,,4.953667,35.5108,0.3243,
NSI20120912,North Stradbroke,-27.345,153.562,2012-09-12 10:20:00,60,30,2012,9,12,10:20:00,2012-09-12T00:20:00Z,,,0.9,0.29,0.18,2,,,2042.6,2327.99,35.535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025.0632,20.4616,,4.90746,35.5476,0.5855,
ROT20121126,Rottnest Island,-32,115.41667,2012-11-26 11:02:00,50,10,2012,11,26,11:02:00,2012-11-26T03:02:00Z,,,1,0.02,0.07,0,,,,,35.562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025.24,19.9606,,4.856021,35.5567,0.1591,0.0791
ROT20121126,Rottnest Island,-32,115.41667,2012-11-26 11:02:00,50,20,2012,11,26,11:02:00,2012-11-26T03:02:00Z,,,1.3,0.01,0.04,0,,,2041.72,2332.2,35.567,,,,0.031,0,0.043,0,,0.007,0,0.006,0,0.024,0.047,0.007,0,0.016,0.006,0.052,0,0,0.017,0,0.003,0.006,0,0.003,0.025,0,0,0,0,0.058,0.058,0.019,0.317,0.336,0,0,0,0,,,0.013,0,,,,1025.3667,19.6449,,4.824257,35.5589,0.2318,0.0744
ROT20130125,Rottnest Island,-32,115.41667,2013-01-25 10:10:00,50,10,2013,1,25,10:10:00,2013-01-25T02:10:00Z,,,0.3,0.06,0.02,0.1,,,,,35.679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.6555,22.4444,,5.129967,35.6842,0.2797,0.1842
ROT20130125,Rottnest Island,-32,115.41667,2013-01-25 10:10:00,50,46,2013,1,25,10:10:00,2013-01-25T02:10:00Z,,,1.6,0.13,0.07,0.6,,,2052.86,2340.16,35.655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAI20121112,Maria Island,-42.59667,148.23333,2012-11-13 10:45:00,86,10,2012,11,13,10:45:00,2012-11-12T23:45:00Z,,,0.9,0.26,0.12,0.6,,277.2,2068.35,2308.48,35.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1026.4141,13.2932,,4.129914,35.0432,0.4094,0.2688
MAI20130129,Maria Island,-42.59667,148.23333,2013-01-30 10:33:00,86,10,2013,1,30,10:33:00,2013-01-29T23:33:00Z,,,0.4,0.21,0.29,0,,,2049.23,2313.99,35.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025.8458,16.126,,4.415746,35.1101,0.5935,0.2506
MAI20130129,Maria Island,-42.59667,148.23333,2013-01-30 10:33:00,86,20,2013,1,30,10:33:00,2013-01-29T23:33:00Z,,,0.5,0.21,0.13,0,,,,,35.119,,,,0.237,0,0.28,0,,0.026,0,0.033,0,0.061,0.204,0.032,0,0.113,0.031,0.408,0,0,0.125,0,0.014,0.076,0,0.01,0.022,0,0,0,0,0.295,0.295,0,1.757,1.757,0,0,0,0,,,0.069,0,,,,1025.9045,16.0687,,4.410215,35.1076,1.4578,0.2613
MAI20130129,Maria Island,-42.59667,148.23333,2013-01-30 10:33:00,86,40,2013,1,30,10:33:00,2013-01-29T23:33:00Z,,,0.5,0.19,0.07,0,,,,,35.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1026.0381,15.8869,,4.394893,35.1239,0.5869,0.1835
MAI20130129,Maria Island,-42.59667,148.23333,2013-01-30 10:33:00,86,75,2013,1,30,10:33:00,2013-01-29T23:33:00Z,,,0.6,0.3,,0.3,,,2079.11,2322.89,35.189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1026.409,15.0152,,4.316927,35.1856,0.2252,0.1705
DAR20130405,Darwin,-12.4,130.76805,2013-04-05 09:40:00,25,10,2013,4,5,09:40:00,2013-04-05T00:10:00Z,,,4.4,0.22,0,0,,,1929.1,2216.3,33.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020.3295,30.1876,,5.582675,33.1644,0.3331,3.6251
NSI20130326,North Stradbroke,-27.345,153.562,2013-03-26 11:10:00,60,20,2013,3,26,11:10:00,2013-03-26T01:10:00Z,,,1.7,0.1,0.31,0,,,,,34.535,,,,0.008,0,0,0,,0.016,0,0.005,0,0.003,0.042,0.008,0,0.004,0.003,0.007,0.004,0,0.006,0,0.004,0.005,0,0,0.064,0.018,0,0,0,0.037,0.037,0,0.282,0.282,0,0,0,0,,,0.013,0,,,,1023.1015,25.5823,,5.342058,34.8033,0.3015,0.3911
