Sample,Station,Latitude,Longitude,SampleDateLocal,Year,Month,Day,Time_24hr,Centric diatom,Ciliate,Cyanobacteria,Dinoflagellate,Flagellate,Foraminifera,Pennate diatom,Radiozoa,Silicoflagellate
10629,North Stradbroke,-27.345,153.562,2018-01-23T10:20:00Z,2018,1,23,10:20:00,1125,0,2750,4444.44,120555.56,0,1625,0,0
10507,Maria Island,-42.59667,148.23333,2018-01-17T10:30:00Z,2018,1,17,10:30:00,470.29,321.77,0,9975.24,439603.96,0,297.03,0,0
10459,North Stradbroke,-27.345,153.562,2017-12-19T10:45:00Z,2017,12,19,10:45:00,202.22,0,2022.24,2224.46,82912.03,0,59049.55,0,0
10874,Maria Island,-42.59667,148.23333,2017-12-18T09:40:00Z,2017,12,18,09:40:00,275,875,0,575,440000,0,850,0,0
10859,Yongala,-19.30847,147.61842,2017-12-15T10:44:00Z,2017,12,15,10:44:00,14250,50,7500,4500,74000,0,750,0,0
10754,Rottnest Island,-32,115.41667,2017-12-14T09:37:00Z,2017,12,14,09:37:00,750,250,0,2475,115500,25,250,0,175
10713,Port Hacking,-34.11923,151.22667,2017-12-12T08:54:00Z,2017,12,12,08:54:00,6040.81,2163.28,0,11387.76,91326.53,0,4081.64,0,0
10557,Yongala,-19.30847,147.61842,2017-11-30T10:34:00Z,2017,11,30,10:34:00,1391.73,77.31,30824.74,23350.51,387886.6,0,1082.47,0,0
10521,Kangaroo Island,-35.83217,136.44733,2017-11-29T14:50:00Z,2017,11,29,14:50:00,18285.71,444.44,0,2961.89,59999.99,0,2984.12,0,126.98
10441,Maria Island,-42.59667,148.23333,2017-11-24T09:50:00Z,2017,11,24,09:50:00,2775,3625,0,2125,232666.67,0,300,0,0
10794,Rottnest Island,-32,115.41667,2017-11-23T10:05:00Z,2017,11,23,10:05:00,6041.66,416.66,10416.67,11319.44,206250,0,82291.66,0,0
10422,North Stradbroke,-27.345,153.562,2017-11-16T10:30:00Z,2017,11,16,10:30:00,1312.08,0,0,1991.56,52014.99,0,538.89,0,0
10377,Rottnest Island,-32,115.41667,2017-11-03T09:25:00Z,2017,11,3,09:25:00,11880.44,127.75,0,894.23,106285.13,0,31681.15,0,127.75
10567,Yongala,-19.30847,147.61842,2017-10-26T09:56:00Z,2017,10,26,09:56:00,24545.46,272.73,10545.45,2822.97,96172.26,0,4272.73,181.82,0
10345,Port Hacking,-34.11923,151.22667,2017-10-25T09:01:00Z,2017,10,25,09:01:00,768446.62,5825.25,0,33067.97,514563.1,0,67961.17,0,0
10315,North Stradbroke,-27.345,153.562,2017-10-23T10:25:00Z,2017,10,23,10:25:00,11851.84,134.68,0,1255.89,31313.13,0,14545.45,0,0
10300,Maria Island,-42.59667,148.23333,2017-10-16T09:50:00Z,2017,10,16,09:50:00,400547.69,2987.3,0,22831.55,282940.35,0,85884.97,0,0
10506,Darwin,-12.4,130.76805,2017-10-10T07:57:00Z,2017,10,10,07:57:00,260,150,27900,50,0,0,325,0,0
10193,North Stradbroke,-27.345,153.562,2017-09-27T10:40:00Z,2017,9,27,10:40:00,2272.75,49.96,0,4655.36,43956.05,0,599.41,0,0
10284,Maria Island,-42.59667,148.23333,2017-09-22T09:15:00Z,2017,9,22,09:15:00,3266.66,5666.66,0,11155.57,231911.12,0,3333.32,0,333.34
