NRS_CODE,SAMPLE,STATION,LATITUDE,LONGITUDE,SAMPLEDATE
YON20141014,7507,Yongala,-19.30847,147.61842,2014-10-14 12:02:00
YON20150119,7552,Yongala,-19.30847,147.61842,2015-01-19 11:25:00
MAI20150421,7613,Maria Island,-42.59667,148.23333,2015-04-21 10:50:00
YON20150324,7644,Yongala,-19.30847,147.61842,2015-03-24 15:15:00
DAR20150803_22:30,8150,Darwin,-12.4,130.76805,2015-08-04 08:00:00
ROT20151022,8336,Rottnest Island,-32,115.41667,2015-10-22 09:36:00
YON20150618,7689,Yongala,-19.30847,147.61842,2015-06-18 10:55:00
NSI20170424,9635,North Stradbroke,-27.345,153.562,2017-04-24 11:00:00
ROT20170303,9760,Rottnest Island,-32,115.41667,2017-03-03 10:30:00
PHB20170716,10003,Port Hacking,-34.11923,151.22667,2017-07-17 09:42:00
DAR20170715_0030,10223,Darwin,-12.4,130.76805,2017-07-15 10:00:00
NSI20171023,10315,North Stradbroke,-27.345,153.562,2017-10-23 10:25:00
PHB20170921,10330,Port Hacking,-34.11923,151.22667,2017-09-22 08:48:00
NSI20171116,10422,North Stradbroke,-27.345,153.562,2017-11-16 10:30:00
DAR20180208_2130,10534,Darwin,-12.4,130.76805,2018-02-09 07:00:00
ROT20180328,10673,Rottnest Island,-32,115.41667,2018-03-28 09:23:00
YON20180220,10745,Yongala,-19.30847,147.61842,2018-02-20 10:30:00
ROT20161214,9728,Rottnest Island,-32,115.41667,2016-12-14 09:35:00
MAI20170626,9867,Maria Island,-42.59667,148.23333,2017-06-27 09:25:00
ROT20170428,10035,Rottnest Island,-32,115.41667,2017-04-28 09:52:00
YON20180329,10950,Yongala,-19.30847,147.61842,2018-03-29 10:27:00
YON20171215,10859,Yongala,-19.30847,147.61842,2017-12-15 10:44:00
NSI20181023,11422,North Stradbroke,-27.345,153.562,2018-10-23 10:30:00
PHB20180905,11462,Port Hacking,-34.11923,151.22667,2018-09-05 10:50:00
ROT20190527,11939,Rottnest Island,-32,115.41667,2019-05-27 09:28:00
MAI20191210,12666,Maria Island,-42.59667,148.23333,2019-12-11 09:30:00
ROT20180719,11106,Rottnest Island,-32,115.41667,2018-07-19 09:35:00
YON20181011,11236,Yongala,-19.30847,147.61842,2018-10-11 10:54:00
YON20190124,11579,Yongala,-19.30847,147.61842,2019-01-24 11:12:00
ROT20190221,11697,Rottnest Island,-32,115.41667,2019-02-21 09:30:00
NSI20190527,11867,North Stradbroke,-27.345,153.562,2019-05-27 10:15:00
NSI20190618,11951,North Stradbroke,-27.345,153.562,2019-06-18 10:00:00
NSI20190916,12247,North Stradbroke,-27.345,153.562,2019-09-16 10:20:00
DAR20120115_03:35,78,Darwin,-12.4,130.76805,2012-01-15 13:05:00
ESP20120229,81,Esperance,-33.93333,121.85,2012-02-29 10:00:00
MAI20100120,93,Maria Island,-42.59667,148.23333,2010-01-21 10:50:00
PHB20091018,117,Port Hacking,-34.11923,151.22667,2009-10-19 09:55:00
DAR20121209_03:00,1483,Darwin,-12.4,130.76805,2012-12-09 12:30:00
YON20121026,1489,Yongala,-19.30847,147.61842,2012-10-26 11:20:00
MAI20121112,1574,Maria Island,-42.59667,148.23333,2012-11-13 10:45:00
YON20130220,1786,Yongala,-19.30847,147.61842,2013-02-20 10:42:00
PHB20121218,1804,Port Hacking,-34.11923,151.22667,2012-12-19 09:31:00
PHB20130611,3042,Port Hacking,-34.11923,151.22667,2013-06-12 09:55:00
PHB20130514,3081,Port Hacking,-34.11923,151.22667,2013-05-15 09:40:00
MAI20130924,3141,Maria Island,-42.59667,148.23333,2013-09-24 11:40:00
NSI20131121,3185,North Stradbroke,-27.345,153.562,2013-11-22 09:55:00
KAI20130827,3273,Kangaroo Island,-35.83217,136.44733,2013-08-28 08:55:00
NSI20130418,1761,North Stradbroke,-27.345,153.562,2013-04-18 10:05:00
YON20131015,5002,Yongala,-19.30847,147.61842,2013-10-15 11:40:00
NSI20140901,5619,North Stradbroke,-27.345,153.562,2014-09-01 10:10:00
YON20140501,5871,Yongala,-19.30847,147.61842,2014-05-01 11:25:00
YON20140527,5885,Yongala,-19.30847,147.61842,2014-05-27 12:12:00
YON20140717,5913,Yongala,-19.30847,147.61842,2014-07-17 10:28:00
ROT20131017,7042,Rottnest Island,-32,115.41667,2013-10-17 08:00:00
MAI20141127,7011,Maria Island,-42.59667,148.23333,2014-11-28 09:30:00
ROT20150224,7320,Rottnest Island,-32,115.41667,2015-02-24 10:17:00
NSI20120821,1496,North Stradbroke,-27.345,153.562,2012-08-21 10:15:00
ROT20091026,141,Rottnest Island,-32,115.41667,2009-10-26 09:53:00
ROT20111020,150,Rottnest Island,-32,115.41667,2011-10-20 12:00:00
NIN20110501,156,Ningaloo,-21.99,113.779,2011-05-01 08:24:00
MAI20091207,164,Maria Island,-42.59667,148.23333,2009-12-07 11:10:00
MAI20100505,166,Maria Island,-42.59667,148.23333,2010-05-05 11:30:00
NSI20121114,1493,North Stradbroke,-27.345,153.562,2012-11-14 10:45:00
KAI20090114,178,Kangaroo Island,-35.83217,136.44733,2009-01-15 08:00:00
KAI20111026,203,Kangaroo Island,-35.83217,136.44733,2011-10-26 14:40:00
PHB20110420,20,Port Hacking,-34.11923,151.22667,2011-04-21 09:36:00
YON20120208,80,Yongala,-19.30847,147.61842,2012-02-08 10:49:00
PHB20110619,86,Port Hacking,-34.11923,151.22667,2011-06-20 09:34:00
NIN20110706,159,Ningaloo,-21.99,113.779,2011-07-06 11:04:00
ROT20100924,17,Rottnest Island,-32,115.41667,2010-09-24 12:22:00
DAR20110627,22,Darwin,-12.4,130.76805,2011-06-27 13:48:00
YON20100521,30,Yongala,-19.30847,147.61842,2010-05-21 12:56:00
KAI20100315,48,Kangaroo Island,-35.83217,136.44733,2010-03-16 06:00:00
PHB20091206,64,Port Hacking,-34.11923,151.22667,2009-12-07 09:14:00
NSI20150323,7413,North Stradbroke,-27.345,153.562,2015-03-23 11:40:00
KAI20150408,7597,Kangaroo Island,-35.83217,136.44733,2015-04-09 07:11:00
MAI20151001,7976,Maria Island,-42.59667,148.23333,2015-10-01 11:05:00
NSI20160412,8533,North Stradbroke,-27.345,153.562,2016-04-12 10:45:00
ROT20160502,9036,Rottnest Island,-32,115.41667,2016-05-02 09:44:00
PHB20160407,8885,Port Hacking,-34.11923,151.22667,2016-04-08 09:13:00
MAI20160831,9005,Maria Island,-42.59667,148.23333,2016-08-31 10:26:00
ROT20161024,9187,Rottnest Island,-32,115.41667,2016-10-24 09:35:00
NSI20161019,9269,North Stradbroke,-27.345,153.562,2016-10-20 09:40:00
ROT20150924,8321,Rottnest Island,-32,115.41667,2015-09-24 10:08:00
MAI20170921,10284,Maria Island,-42.59667,148.23333,2017-09-22 09:15:00
ROT20161114,9455,Rottnest Island,-32,115.41667,2016-11-14 09:45:00
KAI20170315,9680,Kangaroo Island,-35.83217,136.44733,2017-03-15 12:27:00
MAI20170323,9696,Maria Island,-42.59667,148.23333,2017-03-24 09:30:00
DAR20170203_0630,9805,Darwin,-12.4,130.76805,2017-02-03 16:00:00
NSI20170516,9882,North Stradbroke,-27.345,153.562,2017-05-16 10:20:00
YON20170426,10113,Yongala,-19.30847,147.61842,2017-04-26 10:20:00
YON20170705,10143,Yongala,-19.30847,147.61842,2017-07-05 10:21:00
ROT20180221,10705,Rottnest Island,-32,115.41667,2018-02-21 10:05:00
MAI20171217,10874,Maria Island,-42.59667,148.23333,2017-12-18 09:40:00
MAI20170104,9423,Maria Island,-42.59667,148.23333,2017-01-05 09:45:00
YON20180425,11119,Yongala,-19.30847,147.61842,2018-04-26 09:48:00
YON20190703,12438,Yongala,-19.30847,147.61842,2019-07-03 10:50:00
YON20191009,12522,Yongala,-19.30847,147.61842,2019-10-09 10:00:00
PHB20191028,12615,Port Hacking,-34.11923,151.22667,2019-10-29 09:30:00
NSI20191220,12682,North Stradbroke,-27.345,153.562,2019-12-20 10:20:00
ROT20200304,12912,Rottnest Island,-32,115.41667,2020-03-04 09:25:00
YON20200116,12929,Yongala,-19.30847,147.61842,2020-01-16 10:05:00
MAI20200223,12993,Maria Island,-42.59667,148.23333,2020-02-24 10:30:00
DAR20190213_2130,11728,Darwin,-12.4,130.76805,2019-02-14 07:00:00
MAI20190731,12099,Maria Island,-42.59667,148.23333,2019-07-31 10:20:00
DAR20190723_0630,12331,Darwin,-12.4,130.76805,2019-07-23 16:00:00
KAI20190909,12346,Kangaroo Island,-35.83217,136.44733,2019-09-10 07:50:00
MAI20200628,13137,Maria Island,-42.59667,148.23333,2020-06-29 09:45:00
NIN20111107,77,Ningaloo,-21.99,113.779,2011-11-07 10:00:00
NSI20110623,132,North Stradbroke,-27.345,153.562,2011-06-23 10:25:00
NSI20111116,133,North Stradbroke,-27.345,153.562,2011-11-16 10:00:00
YON20121219,1485,Yongala,-19.30847,147.61842,2012-12-19 10:20:00
PHB20121009,1539,Port Hacking,-34.11923,151.22667,2012-10-10 09:44:00
MAI20130611,3135,Maria Island,-42.59667,148.23333,2013-06-11 11:55:00
PHB20130725,3045,Port Hacking,-34.11923,151.22667,2013-07-26 09:24:00
PHB20130915,3051,Port Hacking,-34.11923,151.22667,2013-09-16 08:15:00
NIN20130509,3090,Ningaloo,-21.99,113.779,2013-05-09 10:20:00
ROT20130221,3099,Rottnest Island,-32,115.41667,2013-02-21 12:55:00
ROT20130712,3111,Rottnest Island,-32,115.41667,2013-07-12 12:35:00
MAI20130821,3178,Maria Island,-42.59667,148.23333,2013-08-21 11:21:00
DAR20130405,1755,Darwin,-12.4,130.76805,2013-04-05 09:40:00
PHB20131027,7044,Port Hacking,-34.11923,151.22667,2013-10-28 10:17:00
NSI20140404,5443,North Stradbroke,-27.345,153.562,2014-04-04 10:45:00
ROT20140227,5514,Rottnest Island,-32,115.41667,2014-02-27 12:39:00
PHB20140911,5815,Port Hacking,-34.11923,151.22667,2014-09-11 10:13:00
ROT20140319,5829,Rottnest Island,-32,115.41667,2014-03-19 12:30:00
ROT20140624,5857,Rottnest Island,-32,115.41667,2014-06-24 13:16:00
YON20140317,5072,Yongala,-19.30847,147.61842,2014-03-17 14:07:00
MAI20141208,7076,Maria Island,-42.59667,148.23333,2014-12-09 10:05:00
PHB20141208,7106,Port Hacking,-34.11923,151.22667,2014-12-09 09:51:00
ROT20120824,1734,Rottnest Island,-32,115.41667,2012-08-24 11:06:00
NSI20120511,1471,North Stradbroke,-27.345,153.562,2012-05-11 10:05:00
NSI20120620,1515,North Stradbroke,-27.345,153.562,2012-06-20 10:20:00
NSI20120912,1495,North Stradbroke,-27.345,153.562,2012-09-12 10:20:00
NSI20121017,1494,North Stradbroke,-27.345,153.562,2012-10-17 10:20:00
PHB20120717,1476,Port Hacking,-34.11923,151.22667,2012-07-17 10:00:00
DAR20120729_16:30,1615,Darwin,-12.4,130.76805,2012-07-30 02:00:00
YON20111027,149,Yongala,-19.30847,147.61842,2011-10-27 13:44:00
YON20110616,158,Yongala,-19.30847,147.61842,2011-06-16 11:25:00
ROT20110725,160,Rottnest Island,-32,115.41667,2011-07-25 10:20:00
PHB20100817,185,Port Hacking,-34.11923,151.22667,2010-08-18 09:30:00
NSI20101018,189,North Stradbroke,-27.345,153.562,2010-10-18 10:00:00
PHB20100316,68,Port Hacking,-34.11923,151.22667,2010-03-17 09:05:00
PHB20101019,74,Port Hacking,-34.11923,151.22667,2010-10-20 10:40:00
ROT20100416,165,Rottnest Island,-32,115.41667,2010-04-16 08:30:00
ESP20090512,7,Esperance,-33.93333,121.85,2009-05-12 12:10:00
NSI20091115,12,North Stradbroke,-27.345,153.562,2009-11-16 08:20:00
ESP20091216,27,Esperance,-33.93333,121.85,2009-12-16 09:45:00
ROT20101124,28,Rottnest Island,-32,115.41667,2010-11-24 11:07:00
ROT20100723,31,Rottnest Island,-32,115.41667,2010-07-23 12:02:00
ROT20110923,34,Rottnest Island,-32,115.41667,2011-09-23 09:40:00
ROT20120130,35,Rottnest Island,-32,115.41667,2012-01-30 11:09:00
NSI20100322,49,North Stradbroke,-27.345,153.562,2010-03-23 09:15:00
ROT20120329,55,Rottnest Island,-32,115.41667,2012-03-29 10:03:00
NSI20111013,60,North Stradbroke,-27.345,153.562,2011-10-13 10:30:00
YON20141209,7537,Yongala,-19.30847,147.61842,2014-12-09 10:04:00
YON20150804,8030,Yongala,-19.30847,147.61842,2015-08-04 11:45:00
PHB20150723,7960,Port Hacking,-34.11923,151.22667,2015-07-23 10:07:00
