NRS_CODE,STATION_NAME,Y_COORD,X_COORD,TRIP_START_DATETIME_LOCAL,STATION_DEPTH,SAMPLEDEPTH_M
NSI20100618,North Stradbroke,-27.345,153.562,2010-06-18 12:30:00,60,0
ESP20100629,Esperance,-33.93333,121.85,2010-06-29 10:05:00,50,40
ESP20110120,Esperance,-33.93333,121.85,2011-01-20 08:50:00,50,40
NIN20111107,Ningaloo,-21.99,113.779,2011-11-07 10:00:00,30,40
NIN20111107,Ningaloo,-21.99,113.779,2011-11-07 10:00:00,30,50
NSI20111220,North Stradbroke,-27.345,153.562,2011-12-21 09:15:00,60,50
MAI20120222,Maria Island,-42.59667,148.23333,2012-02-22 11:00:00,86,75
YON20110720,Yongala,-19.30847,147.61842,2011-07-20 11:37:00,28.9,10
YON20110720,Yongala,-19.30847,147.61842,2011-07-20 11:37:00,28.9,20
YON20110720,Yongala,-19.30847,147.61842,2011-07-20 11:37:00,28.9,26
NSI20110727,North Stradbroke,-27.345,153.562,2011-07-28 09:30:00,60,30
NSI20110727,North Stradbroke,-27.345,153.562,2011-07-28 09:30:00,60,57
ESP20100322,Esperance,-33.93333,121.85,2010-03-22 09:40:00,50,0
PHB20101213,Port Hacking,-34.11923,151.22667,2010-12-14 09:30:00,100,20
NSI20100711,North Stradbroke,-27.345,153.562,2010-07-12 08:45:00,60,30
NIN20110209,Ningaloo,-21.99,113.779,2011-02-09 10:15:00,30,50
PHB20110228,Port Hacking,-34.11923,151.22667,2011-03-01 09:30:00,100,40
ROT20110527,Rottnest Island,-32,115.41667,2011-05-27 09:35:00,50,0
PHB20091018,Port Hacking,-34.11923,151.22667,2009-10-19 09:55:00,100,75
NSI20091101,North Stradbroke,-27.345,153.562,2009-11-02 09:02:00,60,0
NSI20100121,North Stradbroke,-27.345,153.562,2010-01-22 09:50:00,60,10
ROT20101215,Rottnest Island,-32,115.41667,2010-12-15 10:20:00,50,40
NSI20111116,North Stradbroke,-27.345,153.562,2011-11-16 10:00:00,60,50
MAI20111214,Maria Island,-42.59667,148.23333,2011-12-15 10:35:00,86,30
MAI20111214,Maria Island,-42.59667,148.23333,2011-12-15 10:35:00,86,82
