NRS_TRIP_CODE,DEPTH,PRES_REL,PRES,DENS,TEMP,PAR,CNDC,SPEC_CNDC,PSAL,TURB,CHLF
ESP20120309,17,17.12,(null),1025.1091,20.8296,(null),4.957498,(null),35.6491,0.1932,0.2755
ESP20090623,22,22.156,(null),1025.956,17.5647,(null),4.61968,(null),35.6261,0.3712,0.4029
ESP20090623,33,33.234,(null),1026.01,17.5477,(null),4.618675,(null),35.628,0.3743,0.4836
ESP20090623,41,41.292,(null),1026.0526,17.523,(null),4.616947,(null),35.6317,0.3692,0.4686
ESP20090917,5,5.035,(null),1026.1667,15.9434,(null),4.441198,(null),35.5021,0.1339,0.7058
ESP20090917,10,10.07,(null),1026.1957,15.9213,(null),4.439277,(null),35.5027,0.1467,0.8917
ESP20090917,16,16.113,(null),1026.2257,15.91,(null),4.438485,(null),35.5033,0.1892,0.6769
ESP20090917,19,19.134,(null),1026.2415,15.9033,(null),4.43804,(null),35.5041,0.2233,0.6491
ESP20090917,22,22.156,(null),1026.2557,15.8972,(null),4.437432,(null),35.5029,0.2522,0.7333
ESP20091216,16,16.113,(null),1025.6238,19.1285,(null),4.793538,(null),35.7469,0.1153,0.1279
ESP20091216,17,17.12,(null),1025.6356,19.117,(null),4.79262,(null),35.7487,0.1199,0.1332
ESP20091216,28,28.198,(null),1025.7052,18.9484,(null),4.772991,(null),35.7254,0.1576,0.1684
ESP20091216,29,29.205,(null),1025.712,18.9335,(null),4.771243,(null),35.7231,0.163,0.1755
ESP20091216,40,40.285,(null),1025.7816,18.8608,(null),4.763565,(null),35.7172,0.1973,0.1743
ESP20100322,15,15.106,(null),1025.5187,19.1719,(null),4.783897,(null),35.6292,0.2767,0.3229
ESP20100322,16,16.113,(null),1025.5255,19.1617,(null),4.782819,(null),35.6285,0.2778,0.3167
ESP20100322,29,29.206,(null),1025.7593,18.4432,(null),4.708636,(null),35.6186,0.4738,0.3843
ESP20100322,30,30.213,(null),1025.7616,18.434,(null),4.706661,(null),35.6094,0.4829,0.3649
ESP20100322,32,32.227,(null),1025.7689,18.4126,(null),4.703791,(null),35.6028,0.49,0.365
ESP20100322,36,36.256,(null),1025.7959,18.3779,(null),4.700656,(null),35.6048,0.4627,0.3531
ESP20100322,39,39.277,(null),1025.8212,18.2657,(null),4.688841,(null),35.6006,0.4205,0.3707
ESP20100629,4,4.028,(null),1026.0004,17.5805,(null),4.639685,(null),35.7923,0.2279,0.2226
KAI20081019,96,96.692,(null),1027.355,14.8793,2.5432,4.415934,(null),36.2075,1.0397,0.1194
KAI20081110,18,18.148,(null),1026.5249,16.2752,10.3654,4.530042,(null),35.9912,1.1122,0.0638
KAI20081110,19,19.139,(null),1026.5319,16.2711,9.8827,4.529783,(null),35.9923,1.1242,0.0647
KAI20081110,24,24.172,(null),1026.5541,16.2513,7.0385,4.527383,(null),35.9868,1.1266,0.0646
KAI20081110,25,25.228,(null),1026.5648,16.2492,6.7073,4.527821,(null),35.9922,1.1219,0.065
KAI20081110,28,28.211,(null),1026.5798,16.2304,5.7012,4.525783,(null),35.9898,1.1212,0.0735
KAI20081110,30,30.238,(null),1026.5833,16.2173,4.9916,4.523701,(null),35.9823,1.1138,0.0761
KAI20081110,34,34.293,(null),1026.6245,16.1868,3.9865,4.522757,(null),35.9999,1.1644,0.0816
KAI20081110,41,41.35,(null),1026.6633,16.1892,2.5275,4.524232,(null),36.0081,1.1162,0.0838
ESP20120910,3,3.021,(null),1025.971,16.5729,(null),4.497977,(null),35.4459,0.3043,0.2449
ESP20120910,4,4.028,(null),1025.9756,16.5736,(null),4.498116,(null),35.4462,0.083,0.2568
