NRS_CODE,STATION_NAME,Y_COORD,X_COORD,TRIP_START_DATETIME_LOCAL,SST,CHL_AVG,CHL
KAI20150408,Kangaroo Island,-35.83217,136.44733,2015-04-09 07:11:00,17.32499350924,0.332386172,0.153527305
MAI20160303,Maria Island,-42.59667,148.23333,2016-03-04 10:15:00,19.654993457161,0.461427445,0.470248729
MAI20150526,Maria Island,-42.59667,148.23333,2015-05-26 10:35:00,13.889993586019,0.541196704,0.493456244
NSI20150624,North Stradbroke,-27.345,153.562,2015-06-24 10:30:00,22.684993389435,0.400899988,0.440152407
MAI20140122,Maria Island,-42.59667,148.23333,2014-01-23 10:50:00,16.539993526787,0.390670671,0.454768717
ROT20160324,Rottnest Island,-32,115.41667,2016-03-24 09:47:00,22.282493398432,0.38955993,0.145237774
KAI20160223,Kangaroo Island,-35.83217,136.44733,2016-02-24 07:55:00,19.71499345582,0.418387345,0.183026165
YON20160122,Yongala,-19.30847,147.61842,2016-01-22 10:39:00,28.429993261024,1.493664858,0.366404057
YON20160215,Yongala,-19.30847,147.61842,2016-02-15 10:18:00,29.399993239343,0.985384474,0.383439898
YON20160624,Yongala,-19.30847,147.61842,2016-06-24 10:00:00,25.439993327856,0.280753789,0.305784464
DAR20160201_2130,Darwin,-12.4,130.76805,2016-02-02 07:00:00,30.469993215427,2.400572825,2.400891781
DAR20160202_0030,Darwin,-12.4,130.76805,2016-02-02 10:00:00,30.469993215427,2.400572825,2.400891781
DAR20160202_0630,Darwin,-12.4,130.76805,2016-02-02 16:00:00,30.469993215427,2.400572825,2.400891781
MAI20160630,Maria Island,-42.59667,148.23333,2016-07-01 09:30:00,13.349993598089,0.4789609,0.640820861
DAR20170715_0630,Darwin,-12.4,130.76805,2017-07-15 16:00:00,26.6513285,2.3395,1.570851564
DAR20170203_0630,Darwin,-12.4,130.76805,2017-02-03 16:00:00,29.3042988,2.400572825,(null)
YON20170120,Yongala,-19.30847,147.61842,2017-01-20 10:00:00,29.3160016,1.493664858,0.447297752
NSI20170829,North Stradbroke,-27.345,153.562,2017-08-29 11:50:00,22.2496018,0.483294961,0.330584973
ROT20170407,Rottnest Island,-32,115.41667,2017-04-07 09:28:00,21.3099751,0.37234,0.322566479
ROT20170523,Rottnest Island,-32,115.41667,2017-05-23 09:53:00,21.4099659,0.47544,0.411407322
MAI20170921,Maria Island,-42.59667,148.23333,2017-09-22 09:15:00,12.4931864,0.90078,0.650584161
KAI20170908,Kangaroo Island,-35.83217,136.44733,2017-09-08 15:00:00,14.6618721,0.30157,0.258439481
ROT20170120,Rottnest Island,-32,115.41667,2017-01-20 10:20:00,20.74166163,0.278832415,0.192736313
YON20170816,Yongala,-19.30847,147.61842,2017-08-16 10:24:00,23.851264,0.21092,0.142533422
MAI20171123,Maria Island,-42.59667,148.23333,2017-11-24 09:50:00,15.8635191,0.85743,1.80207777
PHB20171211,Port Hacking,-34.11923,151.22667,2017-12-12 08:54:00,21.6638287,0.41971,0.158866659
ROT20170802,Rottnest Island,-32,115.41667,2017-08-02 09:33:00,19.5599645,0.36095,0.320110351
MAI20180315,Maria Island,-42.59667,148.23333,2018-03-16 08:45:00,18.6847946,0.46869,0.304945767
ROT20180719,Rottnest Island,-32,115.41667,2018-07-19 09:35:00,19.23832,(null),0.513360202
DAR20190214_0330,Darwin,-12.4,130.76805,2019-02-14 13:00:00,(null),(null),(null)
