SAMPLE,STATION,LATITUDE,LONGITUDE,SAMPLEDATE
1124,Port Hacking,-34.11923,151.22667,2009-10-19 09:55:00
1253,Port Hacking,-34.11923,151.22667,2010-09-09 09:30:00
1486,Yongala,-19.30847,147.61842,2012-12-19 10:20:00
1492,Yongala,-19.30847,147.61842,2012-09-18 11:00:00
1524,North Stradbroke,-27.345,153.562,2013-01-11 10:40:00
1530,North Stradbroke,-27.345,153.562,2013-01-23 10:15:00
3241,Rottnest Island,-32,115.41667,2012-11-26 11:02:00
1576,Maria Island,-42.59667,148.23333,2012-11-13 10:45:00
1753,Kangaroo Island,-35.83217,136.44733,2013-02-21 07:20:00
3301,Port Hacking,-34.11923,151.22667,2012-11-21 09:30:00
1782,Kangaroo Island,-35.83217,136.44733,2013-05-07 07:55:00
3029,North Stradbroke,-27.345,153.562,2013-08-19 10:10:00
3180,Maria Island,-42.59667,148.23333,2013-08-21 11:21:00
3270,North Stradbroke,-27.345,153.562,2013-12-12 10:20:00
4935,Rottnest Island,-32,115.41667,2013-12-18 10:43:00
1555,Esperance,-33.93333,121.85,2012-03-09 09:34:00
1764,North Stradbroke,-27.345,153.562,2013-03-26 11:10:00
5017,Yongala,-19.30847,147.61842,2013-11-14 10:32:00
5031,Yongala,-19.30847,147.61842,2013-12-05 11:26:00
5518,Port Hacking,-34.11923,151.22667,2013-10-28 10:17:00
5519,Port Hacking,-34.11923,151.22667,2013-12-03 09:30:00
5516,Rottnest Island,-32,115.41667,2014-02-27 12:39:00
5631,Maria Island,-42.59667,148.23333,2014-08-07 12:00:00
5648,North Stradbroke,-27.345,153.562,2014-10-20 10:45:00
5663,Darwin,-12.4,130.76805,2014-09-06 10:00:00
5789,Port Hacking,-34.11923,151.22667,2014-08-25 09:57:00
5901,Yongala,-19.30847,147.61842,2014-07-17 10:28:00
5494,Rottnest Island,-32,115.41667,2013-10-01 11:55:00
5059,Yongala,-19.30847,147.61842,2014-02-20 10:48:00
6666,Kangaroo Island,-35.83217,136.44733,2014-07-13 16:13:00
6723,Rottnest Island,-32,115.41667,2014-10-14 11:52:00
7013,Maria Island,-42.59667,148.23333,2014-11-28 09:30:00
7062,Maria Island,-42.59667,148.23333,2014-12-09 10:05:00
7138,Port Hacking,-34.11923,151.22667,2014-11-13 09:36:00
1082,North Stradbroke,-27.345,153.562,2008-10-30 10:30:00
1088,North Stradbroke,-27.345,153.562,2009-04-16 10:30:00
1420,Port Hacking,-34.11923,151.22667,2012-07-17 10:00:00
1441,Darwin,-12.4,130.76805,2012-07-30 11:00:00
1119,North Stradbroke,-27.345,153.562,2009-10-22 09:20:00
1398,Yongala,-19.30847,147.61842,2011-10-27 13:44:00
1307,Maria Island,-42.59667,148.23333,2011-01-19 10:30:00
1292,Yongala,-19.30847,147.61842,2011-02-17 11:30:00
1250,North Stradbroke,-27.345,153.562,2011-01-19 10:00:00
1072,Port Hacking,-34.11923,151.22667,2009-02-24 09:27:00
1130,Yongala,-19.30847,147.61842,2009-11-23 11:45:00
1413,Kangaroo Island,-35.83217,136.44733,2011-12-20 09:30:00
1152,Port Hacking,-34.11923,151.22667,2010-01-20 09:20:00
1320,Rottnest Island,-32,115.41667,2010-09-24 12:22:00
1101,Port Hacking,-34.11923,151.22667,2009-06-24 09:10:00
1129,Yongala,-19.30847,147.61842,2009-09-09 10:40:00
1225,Kangaroo Island,-35.83217,136.44733,2010-04-20 07:00:00
1363,Port Hacking,-34.11923,151.22667,2011-10-19 09:31:00
1221,Rottnest Island,-32,115.41667,2010-03-15 10:00:00
1252,Kangaroo Island,-35.83217,136.44733,2010-12-14 08:30:00
7847,Kangaroo Island,-35.83217,136.44733,2015-06-30 07:35:00
7978,Port Hacking,-34.11923,151.22667,2015-06-30 11:11:00
8947,Yongala,-19.30847,147.61842,2016-06-24 10:00:00
9174,Rottnest Island,-32,115.41667,2016-10-24 09:35:00
8396,North Stradbroke,-27.345,153.562,2015-12-16 10:30:00
8857,Port Hacking,-34.11923,151.22667,2016-03-01 09:00:00
9502,Port Hacking,-34.11923,151.22667,2016-09-27 09:54:00
9746,Rottnest Island,-32,115.41667,2017-03-03 10:30:00
10317,Port Hacking,-34.11923,151.22667,2017-09-22 08:48:00
10480,Port Hacking,-34.11923,151.22667,2017-08-22 09:50:00
9792,Darwin,-12.4,130.76805,2017-02-03 16:00:00
9884,North Stradbroke,-27.345,153.562,2017-06-27 10:20:00
10021,Rottnest Island,-32,115.41667,2017-04-28 09:52:00
10680,Rottnest Island,-32,115.41667,2018-02-21 10:05:00
10715,Rottnest Island,-32,115.41667,2018-01-25 10:00:00
10769,Port Hacking,-34.11923,151.22667,2018-02-22 09:18:00
10861,Maria Island,-42.59667,148.23333,2017-12-18 09:40:00
10954,Maria Island,-42.59667,148.23333,2018-06-06 09:30:00
10537,Darwin,-12.4,130.76805,2018-02-09 10:00:00
10616,North Stradbroke,-27.345,153.562,2018-01-23 10:20:00
11437,Rottnest Island,-32,115.41667,2018-08-31 10:07:00
11979,Port Hacking,-34.11923,151.22667,2019-05-23 08:50:00
12426,Yongala,-19.30847,147.61842,2019-07-03 10:50:00
10997,Kangaroo Island,-35.83217,136.44733,2018-05-16 08:15:00
11212,Yongala,-19.30847,147.61842,2018-09-27 10:52:00
11295,Rottnest Island,-32,115.41667,2018-09-21 09:27:00
11349,Maria Island,-42.59667,148.23333,2018-12-05 09:10:00
11464,Port Hacking,-34.11923,151.22667,2018-09-27 10:43:00
11505,Maria Island,-42.59667,148.23333,2019-01-07 08:50:00
11542,Yongala,-19.30847,147.61842,2018-11-23 10:05:00
11596,Port Hacking,-34.11923,151.22667,2018-12-19 09:40:00
