SAMPLE,STATION,LATITUDE,LONGITUDE,SAMPLEDATE
8424,North Stradbroke,-27.345,153.562,2016-01-20 10:30:00
9515,Port Hacking,-34.11923,151.22667,2016-09-27 09:54:00
10534,Darwin,-12.4,130.76805,2018-02-09 07:00:00
10672,Maria Island,-42.59667,148.23333,2018-04-19 09:30:00
10704,Yongala,-19.30847,147.61842,2018-01-30 10:05:00
9485,Yongala,-19.30847,147.61842,2016-10-12 10:26:00
9530,Yongala,-19.30847,147.61842,2016-11-08 10:50:00
9696,Maria Island,-42.59667,148.23333,2017-03-24 09:30:00
10051,Rottnest Island,-32,115.41667,2017-05-23 09:53:00
10083,Rottnest Island,-32,115.41667,2017-08-02 09:33:00
10599,North Stradbroke,-27.345,153.562,2018-03-20 10:40:00
11435,Port Hacking,-34.11923,151.22667,2018-11-21 09:24:00
11462,Port Hacking,-34.11923,151.22667,2018-09-05 10:50:00
12423,Rottnest Island,-32,115.41667,2019-08-19 08:31:00
12568,Rottnest Island,-32,115.41667,2019-10-11 10:07:00
12649,Maria Island,-42.59667,148.23333,2019-11-22 09:23:00
12834,Port Hacking,-34.11923,151.22667,2019-11-19 09:15:00
12944,Yongala,-19.30847,147.61842,2020-02-13 09:47:00
11236,Yongala,-19.30847,147.61842,2018-10-11 10:54:00
11579,Yongala,-19.30847,147.61842,2019-01-24 11:12:00
11951,North Stradbroke,-27.345,153.562,2019-06-18 10:00:00
12006,Port Hacking,-34.11923,151.22667,2019-06-27 09:38:00
12036,Kangaroo Island,-35.83217,136.44733,2019-05-14 15:35:00
12099,Maria Island,-42.59667,148.23333,2019-07-31 10:20:00
12215,North Stradbroke,-27.345,153.562,2019-07-23 10:20:00
81,Esperance,-33.93333,121.85,2012-02-29 10:00:00
87,Yongala,-19.30847,147.61842,2011-07-20 11:37:00
89,Port Hacking,-34.11923,151.22667,2009-03-19 09:39:00
96,Kangaroo Island,-35.83217,136.44733,2010-11-21 05:00:00
104,Port Hacking,-34.11923,151.22667,2011-03-01 09:30:00
120,North Stradbroke,-27.345,153.562,2010-01-22 09:50:00
1522,North Stradbroke,-27.345,153.562,2013-01-23 10:15:00
1565,Rottnest Island,-32,115.41667,2012-10-19 09:54:00
1789,Yongala,-19.30847,147.61842,2013-04-16 11:35:00
3027,North Stradbroke,-27.345,153.562,2013-08-06 10:15:00
3039,Darwin,-12.4,130.76805,2013-09-16 11:26:00
3045,Port Hacking,-34.11923,151.22667,2013-07-26 09:24:00
3048,Port Hacking,-34.11923,151.22667,2013-08-27 09:30:00
3093,Ningaloo,-21.99,113.779,2013-08-06 14:03:00
3099,Rottnest Island,-32,115.41667,2013-02-21 12:55:00
3138,Maria Island,-42.59667,148.23333,2013-08-07 11:30:00
3269,North Stradbroke,-27.345,153.562,2013-12-12 10:20:00
3311,North Stradbroke,-27.345,153.562,2014-02-13 10:20:00
3074,Darwin,-12.4,130.76805,2013-06-18 00:30:00
