NRS_TRIP_CODE,Station,Latitude,Longitude,SampleDateLocal,SampleDepth_m,CPHL_C3,MG_DVP,CPHL_C2,CPHL_C1,CPHL_C1C2,CPHLIDE_A,PHIDE_A,PERID,PYROPHIDE_A,BUT_FUCO,FUCO,NEO,KETO_HEX_FUCO,PRAS,VIOLA,HEX_FUCO,ASTA,DIADCHR,DIADINO,DINO,ANTH,ALLO,MYXO,DIATO,ZEA,LUT,CANTHA,GYRO,DV_CPHL_B,CPHL_B,DV_CPHL_B_AND_CPHL_B,DV_CPHL_A,CPHL_A,DV_CPHL_A_AND_CPHL_A,ECHIN,PHYTIN_B,PHYTIN_A,LYCO,BETA_EPI_CAR,BETA_BETA_CAR,ALPHA_BETA_CAR,PYROPHYTIN_A
NRSMAI20140408,Maria Island,-42.59667,148.23333,2014-04-08 11:03:00,(null),0.086,0,0.089,0,(null),0.06,0,0.012,0,0.051,0.073,0.011,0,0.023,0.008,0.123,0.004,0,0.031,0,0.003,0.017,0,0,0.051,0,0,0,0,0.098,0.098,0.045,0.57,0.615,0,0,0,0,(null),(null),0.029,0
NRSDAR20140403,Darwin,-12.4,130.76805,2014-04-04 08:03:00,(null),0.019,0,0.102,0.059,(null),0,0,0,0,0.018,0.584,0,0,0,0,0,0.055,0,0.053,0,0,0.017,0,0,0.096,0,0,0,0,0.041,0.041,0,1.309,1.309,0,0,0,0,(null),(null),0.068,0
NRSKAI20140313,Kangaroo Island,-35.83217,136.44733,2014-03-13 14:00:00,(null),0.082,0,0.073,0,(null),0.023,0,0.018,0,0.043,0.121,0.004,0,0.006,0.003,0.076,0,0,0.027,0,0.002,0.002,0,0.015,0.028,0,0,0,0.008,0.039,0.047,0.026,0.442,0.468,0,0,0,0,(null),(null),0.017,0
NRSKAI20140507,Kangaroo Island,-35.83217,136.44733,2014-05-07 13:45:00,(null),0.019,0,0.018,0.003,(null),0,0,0,0,0.016,0.028,0.003,0,0.009,0.001,0.027,0,0,0.004,0,0,0.004,0,0,0.006,0,0,0,0,0.028,0.028,0.007,0.144,0.151,0,0,0,0,(null),(null),0.007,0
NRSKAI20140122,Kangaroo Island,-35.83217,136.44733,2014-01-22 15:15:00,(null),0.054,0,0.071,0.008,(null),0,0,0.02,0,0.053,0.047,0.009,0,0.023,0.005,0.073,0.004,0,0.018,0,0.007,0.01,0,0.009,0.01,0,0,0,0,0.074,0.074,0.002,0.426,0.428,0,0,0,0,(null),(null),0.013,0
NRSMAI20140318,Maria Island,-42.59667,148.23333,2014-03-19 10:55:00,(null),0.037,0,0.106,0.016,(null),0,0,0.007,0,0.038,0.036,0.023,0,0.058,0.016,0.058,0.009,0,0.017,0,0.006,0.08,0,0.004,0.075,0,0,0,0,0.195,0.195,0.033,0.818,0.851,0,0,0,0,(null),(null),0.046,0
NRSMAI20140516,Maria Island,-42.59667,148.23333,2014-05-16 10:20:00,(null),0.036,0,0.069,0.012,(null),0,0,0.012,0,0.028,0.031,0.016,0,0.038,0.009,0.057,0,0,0.012,0,0,0.04,0,0,0.015,0,0,0,0,0.147,0.147,0.008,0.553,0.561,0,0,0,0,(null),(null),0.024,0
NRSMAI20140619,Maria Island,-42.59667,148.23333,2014-06-19 11:30:00,(null),0.025,0,0.047,0,(null),(null),0,0.003,0,0.028,0.029,0.011,0,0.03,0.008,0.055,(null),0,0.01,0,0,0.014,0,0,0.01,0,0,0,0,0.115,0.115,0,0.383,0.383,0,0,0,0,(null),(null),0.015,0
NRSMAI20140703,Maria Island,-42.59667,148.23333,2014-07-03 11:30:00,(null),0.028,0,0.037,0,(null),(null),0,0.005,0,0.026,0.023,0.007,0,0.019,0.004,0.049,(null),0,0.012,0,0.002,0.014,0,0,0.01,0,0,0,0,0.078,0.078,0,0.305,0.305,0,0,0,0,(null),(null),0.011,0
NRSNSI20131016,North Stradbroke,-27.345,153.562,2013-10-16 10:40:00,(null),0.071,0,0.083,0,(null),0.197,0,0.005,0,0.025,0.168,0.009,0,0.013,0.004,0.046,0.004,0,0.021,0,0.004,0.009,0,0.003,0.251,0.01,0,0,0,0.034,0.034,0,0.374,0.374,0,0,0,0,(null),(null),0.01,0
NRSNSI20131121,North Stradbroke,-27.345,153.562,2013-11-22 09:55:00,(null),0.013,0,0.017,0,(null),0,0,0,0,0.018,0.062,0.002,0,0.002,0.001,0.038,0.002,0,0.01,0,0,0,0,0.005,0.029,0.002,0,0,0,0.016,0.016,0.014,0.193,0.207,0,0,0,0,(null),(null),0.007,0
NRSNSI20140213,North Stradbroke,-27.345,153.562,2014-02-13 10:20:00,(null),0.011,0,0.024,0,(null),0.008,0,0,0,0.022,0.018,0.006,0,0.007,0.002,0.041,0.002,0,0.005,0,0,0.001,0,0,0.042,0.004,0,0,0,0.042,0.042,0.034,0.221,0.255,0,0,0,0,(null),(null),0.01,0
NRSNSI20140306,North Stradbroke,-27.345,153.562,2014-03-06 10:15:00,(null),0.018,0,0.032,0,(null),0,0,0.004,0,0.029,0.058,0.005,0,0.009,0.001,0.05,0,0,0.012,0,0,0.004,0,0,0.069,0,0,0,0.006,0.049,0.055,0.06,0.364,0.424,0,0,0,0,(null),(null),0.024,0
NRSNSI20140404,North Stradbroke,-27.345,153.562,2014-04-04 10:45:00,(null),0.034,0,0.035,0,(null),0.024,0,0.004,0,0.03,0.038,0.006,0,0.009,0.002,0.056,0,0,0.01,0,0,0.004,0,0,0.039,0.005,0,0,0.003,0.041,0.044,0.029,0.303,0.332,0,0,0,0,(null),(null),0.016,0
NRSNSI20140507,North Stradbroke,-27.345,153.562,2014-05-07 10:25:00,(null),0.029,0,0.043,0,(null),0.005,0,0.004,0,0.051,0.027,0.004,0,0.005,0.001,0.073,0,0,0.012,0,0,0,0,0.002,0.042,0,0,0,0.022,0.037,0.059,0.066,0.283,0.349,0,0,0,0,(null),(null),0.023,0
NRSPHB20140120,Port Hacking,-34.11923,151.22667,2014-01-21 09:43:00,(null),0.075,0,0.09,0,(null),0.051,0,0.009,0,0.032,0.21,0.004,0,0.008,0.003,0.044,0.004,0,0.037,0,0.002,0.003,0,0.005,0.028,0,0,0,0,0.07,0.07,0.026,0.601,0.627,0,0,0.062,0,(null),(null),0.023,0
NRSPHB20140211,Port Hacking,-34.11923,151.22667,2014-02-12 09:57:00,(null),0.103,0,0.126,0,(null),0.048,0,0.018,0,0.024,0.372,0.006,0,0.012,0.006,0.062,0.01,0,0.051,0,0,0.003,0,0.003,0.016,0.006,0,0,0,0.06,0.06,0.01,0.957,0.967,0,0,0,0,(null),(null),0.029,0
NRSPHB20140317,Port Hacking,-34.11923,151.22667,2014-03-18 09:48:00,(null),0.038,0,0.038,0,(null),0.012,0,0.003,0,0.042,0.033,0.004,0,0.007,0.003,0.046,0.003,0,0.015,0,0.001,0.006,0,0.002,0.036,0.004,0,0,0.007,0.042,0.049,0.032,0.32,0.352,0,0,0,0,(null),(null),0.017,0
NRSMAI20140915,Maria Island,-42.59667,148.23333,2014-09-16 09:20:00,(null),0.094,0,0.188,0,(null),0.263,0.057,0.014,0,0.017,0.378,0.005,0,0.018,0.005,0.095,0.01,0.049,0,0,0,0.017,0,0.004,0.004,0,0,0,0,0.064,0.064,0,0.911,0.911,0,0,0,0,(null),(null),0.025,0
NRSMAI20141029,Maria Island,-42.59667,148.23333,2014-10-30 09:27:00,(null),0.037,0,0.063,0,(null),0.004,0,0,0,0.031,0.074,0.004,0,0.019,0.003,0.102,0,0.032,0,0,0,0.012,0,0.002,0,0,0,0,0,0.027,0.027,0,0.437,0.437,0,0,0,0,(null),(null),0.011,0
NRSMAI20141127,Maria Island,-42.59667,148.23333,2014-11-28 09:30:00,(null),0.011,0,0.024,0,(null),0,0,0.005,0,0.006,0.016,0,0,0,0,0.05,0,0.012,0,0,0,0.01,0,0,0,0,0,0,0,0.006,0.006,0,0.176,0.176,0,0,0,0,(null),(null),0.005,0
NRSDAR20140117_21:30,Darwin,-12.4,130.76805,2014-01-18 07:00:00,(null),0.017,0,0.089,0.081,(null),0.33,0,0,0,0.015,0.566,0,0,0.021,0,0,0.035,0,0.051,0,0,0.024,0,0.008,0.095,0,0,0,0,0.039,0.039,0,1.414,1.414,0,0,0,0,(null),(null),0.071,0
NRSDAR20140118_00:30,Darwin,-12.4,130.76805,2014-01-18 10:00:00,(null),0.019,0,0.066,0.086,(null),0.737,0,0,0,0.033,0.756,0,0,0.024,0,0,0.064,0,0.065,0,0,0.03,0,0.008,0.126,0,0,0,0,0.09,0.09,0,1.831,1.831,0,0,0,0,(null),(null),0.096,0
NRSDAR20140118_03:30,Darwin,-12.4,130.76805,2014-01-18 13:00:00,(null),0,0,0.044,0.047,(null),0.32,0,0,0,0.014,0.377,0,0,0.016,0,0,0.032,0,0.029,0,0,0.02,0,0,0.081,0,0,0,0,0.046,0.046,0,0.944,0.944,0,0,0,0,(null),(null),0.045,0
NRSDAR20140117_19:50,Darwin,-12.4,130.76805,2014-01-18 05:20:00,(null),0.014,0,0.082,0.079,(null),0.444,0,0,0,0.017,0.5,0,0,0.019,0,0,0.032,0,0.043,0,0,0.022,0,0.005,0.089,0,0,0,0,0.04,0.04,0,1.29,1.29,0,0,0,0,(null),(null),0.066,0
NRSYON20131015,Yongala,-19.30847,147.61842,2013-10-15 11:40:00,(null),0.019,0,0.024,0.005,(null),0,0,0.005,0,0.009,0.032,0.002,0,0.003,0.003,0.027,0.004,0,0.01,0,0,0,0,0,0.102,0,0,0,0.015,0.016,0.031,0.103,0.207,0.31,0,0,0,0,(null),(null),0.032,0
NRSYON20131114,Yongala,-19.30847,147.61842,2013-11-14 10:32:00,(null),0.021,0,0.033,0,(null),0.057,0,0,0,0.012,0.022,0.002,0,0,0.003,0.042,0.005,0,0.011,0,0.003,0,0,0,0.137,0,0,0,0.014,0.02,0.034,0.133,0.251,0.384,0,0,0,0,(null),(null),0,0
NRSYON20131205,Yongala,-19.30847,147.61842,2013-12-05 11:26:00,(null),0.03,0,0.034,0,(null),0.013,0,0,0,0.025,0.027,0.003,0,0.002,0.003,0.054,0.004,0,0.01,0,0,0,0,0,0.127,0,0,0,0.009,0.022,0.031,0.092,0.398,0.49,0,0,0,0,(null),(null),0,0
NRSYON20140122,Yongala,-19.30847,147.61842,2014-01-22 10:00:00,(null),0.008,0,0.013,0.004,(null),0,0,0,0,0.005,0.012,0,0,0,0.002,0.016,0.004,0,0.009,0,0,0,0,0.002,0.12,0,0,0,0.007,0.006,0.013,0.068,0.18,0.248,0,0,0,0,(null),(null),0.027,0
NRSDAR20130916,Darwin,-12.4,130.76805,2013-09-16 11:26:00,(null),0.019,0,0.032,0.009,(null),0,0,0,0,0.006,0.082,0.005,0,0.018,0.006,0.029,(null),0,0.016,0,0,0.008,0,0,0.109,0,0,0,0,0.048,0.048,0,0.454,0.454,0,0,0,0,(null),(null),0.037,0
NRSNIN20130806,Ningaloo,-21.99,113.779,2013-08-06 14:03:00,(null),0.036,0,0.038,0,(null),0.007,0,0.004,0,0.023,0.035,0.006,0,0.013,0.005,0.05,(null),0,0.011,0,0.003,0.005,0,0,0.048,0,0,0,0,0.063,0.063,0.027,0.327,0.354,0,0,0,0,(null),(null),0.022,0
NRSKAI20130827,Kangaroo Island,-35.83217,136.44733,2013-08-28 08:55:00,(null),0.03,0,0.038,0.004,(null),0,0,0.008,0,0.024,0.026,0.006,0,0.014,0.004,0.051,(null),0,0.01,0,0.004,0.011,0,0.007,0.047,0,0,0,0,0.059,0.059,0.045,0.283,0.328,0,0,0,0,(null),(null),0.018,0
NRSMAI20131117,Maria Island,-42.59667,148.23333,2013-11-18 10:50:00,(null),0.022,0,0.069,0,(null),0.011,0,0.029,0,0.007,0.028,0.017,0,0.047,0.018,0.058,(null),0,0.02,0,0.004,0.024,0,0,0.006,0,0,0,0,0.144,0.144,0,0.542,0.542,0,0,0,0,(null),(null),0.021,0
NRSMAI20131217,Maria Island,-42.59667,148.23333,2013-12-17 11:05:00,(null),0.041,0,0.114,0,(null),0.041,0,0.072,0,0.01,0.098,0.006,0,0.013,0.005,0.052,(null),0,0.034,0,0,0.037,0,0.004,0.011,0,0,0,0,0.042,0.042,0,0.637,0.637,0,0,0,0,(null),(null),0.019,0
NRSROT20131122,Rottnest Island,-32,115.41667,2013-11-22 10:26:00,(null),0.016,0,0.026,0,(null),0.008,0,0.011,0,0.007,0.024,0.003,0,0.007,0.001,0.033,0.003,0,0.019,0,0.003,0.007,0,0.006,0.018,0,0,0,0,0.022,0.022,0.007,0.163,0.17,0,0,0,0,(null),(null),0.007,0
NRSROT20131218,Rottnest Island,-32,115.41667,2013-12-18 10:43:00,(null),0.022,0,0.028,0,(null),0.008,0,0,0,0.011,0.047,0.002,0,0.005,0.003,0.037,0.006,0,0.021,0,0,0.002,0,0.004,0.023,0,0,0,0,0.018,0.018,0.008,0.225,0.233,0,0,0,0,(null),(null),0.009,0
NRSPHB20131020,Port Hacking,-34.11923,151.22667,2013-10-21 09:36:00,(null),0.071,0,0.083,0,(null),0.021,0,0.011,0,0.039,0.146,0.004,0,0.01,0.003,0.045,(null),0,0.023,0,0,0.009,0,0,0.015,0,0,0,0,0.042,0.042,0,0.574,0.574,0,0,0,0,(null),(null),0.016,0
NRSPHB20131027,Port Hacking,-34.11923,151.22667,2013-10-28 10:17:00,(null),0.051,0,0.053,0.003,(null),0,0,0.019,0,0.041,0.03,0.004,0,0.007,0.002,0.075,(null),0,0.013,0,0,0.009,0,0,0.015,0,0,0,0,0.038,0.038,0,0.343,0.343,0,0,0,0,(null),(null),0.011,0
NRSPHB20131202,Port Hacking,-34.11923,151.22667,2013-12-03 09:30:00,(null),0.031,0,0.035,0.006,(null),0,0,0.007,0,0.033,0.025,0.008,0,0.014,0.009,0.042,(null),0,0.015,0,0,0,0,0,0.031,0.008,0,0,0,0.058,0.058,0.019,0.238,0.257,0,0,0,0,(null),(null),0.014,0
NRSMAI20140205,Maria Island,-42.59667,148.23333,2014-02-05 11:05:00,(null),0.04,0,0.101,0.009,(null),0,0,0.099,0,0.018,0.061,0.016,0,0.04,0.015,0.056,(null),0,0.003,0,0,0.01,0,0,0.03,0,0,0,0,0.143,0.143,0,0.636,0.636,0,0,0,0,(null),(null),0.024,0
NRSROT20140122,Rottnest Island,-32,115.41667,2014-01-22 10:10:00,(null),0.04,0,0.057,0,(null),0.015,0,0.018,0,0.022,0.102,0.003,0,0.006,0.002,0.043,0,0,0.037,0,0.003,0.007,0,0.014,0.023,0,0,0,0,0.032,0.032,0.012,0.388,0.4,0,0,0,0,(null),(null),0.015,0
NRSROT20140227,Rottnest Island,-32,115.41667,2014-02-27 12:39:00,(null),0.031,0,0.032,0,(null),0.009,0,0,0,0.023,0.034,0.005,0,0.013,0.006,0.053,0.003,0,0.02,0,0.004,0.004,0,0.004,0.022,0.002,0,0,0,0.044,0.044,0.012,0.224,0.236,0,0,0,0,(null),(null),0.01,0
NRSESP20110512,Esperance,-33.93333,121.85,2011-05-12 10:10:00,(null),0.074,0,0.087,0,(null),0.065,0,0.024,0,0.044,0.092,0.011,0,0.019,0.006,0.143,0,0,0.025,0,0.003,0.033,0,0.009,0.043,0,0,0,0,0.091,0.091,0.008,0.604,0.612,0,0,0,0,(null),(null),0.03,0
NRSESP20120612,Esperance,-33.93333,121.85,2012-06-12 09:24:00,(null),0.081,0,0.106,0,(null),0.017,0,0,0,0.058,0.084,0.015,0,0.029,0.014,0.13,0.005,0,0.036,0,0.003,0.026,0,0.003,0.018,0.004,0,0,0,0.131,0.131,0,0.715,0.715,0,0,0,0,(null),(null),0.025,0
NRSNSI20091101,North Stradbroke,-27.345,153.562,2009-11-02 09:02:00,(null),0,0,0.009,0,(null),0,0,0,0,0.005,0.021,0,0,0,0,0.016,0,0,0.004,0,0,0,0,0,0.023,0,0,0,0,0,0,0.01,0.107,0.117,0,0,0,0,(null),(null),0.006,0
NRSNSI20100214,North Stradbroke,-27.345,153.562,2010-02-15 09:30:00,(null),0.027,0,0,0.033,(null),0,0,0,0,0.024,0.085,0,0,0.004,0,0.041,0,0,0.013,0,0,0,0,0,0.037,0,0,0,0,0.028,0.028,0.007,0.292,0.299,0,0,0,0,(null),(null),0.017,0
NRSNSI20100411,North Stradbroke,-27.345,153.562,2010-04-12 08:35:00,(null),0.012,0,0,0.026,(null),0,0,0,0,0.025,0.061,0,0,0,0,0.039,0,0,0.008,0,0,0,0,0.004,0.026,0,0,0,0,0.025,0.025,0.013,0.203,0.216,0,0,0,0,(null),(null),0.01,0
NRSPHB20120821,Port Hacking,-34.11923,151.22667,2012-08-22 09:19:00,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),0,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null)
NRSPHB20130514,Port Hacking,-34.11923,151.22667,2013-05-15 09:40:00,(null),0.05,0,0.082,0,(null),0.022,0,0.015,0,0.025,0.085,0.014,0,0.024,0.012,0.062,0,0,0.023,0,0.003,0.038,0,0.004,0.031,0.013,0,0,0,0.111,0.111,0.01,0.655,0.665,0,0,0,0,(null),(null),0.028,0
NRSMAI20110812,Maria Island,-42.59667,148.23333,2011-08-12 10:55:00,(null),0.019,0,0.03,0,(null),0.011,0,0,0,0.02,0.057,0.005,0,0.013,0.002,0.035,0,0,0.01,0,0,0.003,0,0,0.006,0,0,0,0,0.047,0.047,0,0.24,0.24,0,0,0,0,(null),(null),0.006,0
NRSMAI20111026,Maria Island,-42.59667,148.23333,2011-10-26 11:00:00,(null),0.052,0,0.18,0.037,(null),0,0,0.041,0,0.005,0.504,0.009,0,0.028,0.007,0.037,0.011,0,0.054,0,0.003,0.037,0,0.003,0.005,0,0,0,0,0.082,0.082,0,1.449,1.449,0,0,0,0,(null),(null),0.043,0
NRSMAI20120412,Maria Island,-42.59667,148.23333,2012-04-12 10:45:00,(null),0.034,0,0.066,0.007,(null),0,0,0.009,0,0.026,0.054,0.021,0,0.047,0.016,0.08,0,0,0.017,0,0,0.037,0,0,0.017,0,0,0,0,0.178,0.178,0.006,0.604,0.61,0,0,0,0,(null),(null),0.029,0
NRSMAI20120820,Maria Island,-42.59667,148.23333,2012-08-20 11:15:00,(null),0.028,0,0.053,0.009,(null),0,0,0.009,0,0.021,0.046,0.013,0,0.027,0.008,0.053,0,0,0.011,0,0,0.012,0,0,0.01,0,0,0,0,0.108,0.108,0,0.441,0.441,0,0,0,0,(null),(null),0.013,0
NRSMAI20130821,Maria Island,-42.59667,148.23333,2013-08-21 11:21:00,(null),0.053,0,0.063,0.005,(null),0,0,0.009,0,0.038,0.079,0.008,0,0.019,0.006,0.07,0,0,0.02,0,0,0.01,0,0,0.007,0,0,0,0,0.072,0.072,0,0.442,0.442,0,0,0,0,(null),(null),0.013,0
NRSESP20090917,Esperance,-33.93333,121.85,2009-09-17 09:40:00,(null),0.013,0,0.025,0.004,(null),0,0,0.009,0,0.019,0.041,0.006,0,0.013,0.003,0.033,0.004,0,0.014,0,0.004,0.007,0,0.008,0.008,0,0,0,0,0.046,0.046,0,0.237,0.237,0,0,0,0,(null),(null),0.006,0
NRSESP20091216,Esperance,-33.93333,121.85,2009-12-16 09:45:00,(null),0.019,0,0.032,0,(null),0,0,0.008,0,0.02,0.045,0.004,0,0.007,0.005,0.048,0,0,0.019,0,0,0.002,0,0.003,0.041,0,0,0,0,0.033,0.033,0,0.237,0.237,0,0,0,0,(null),(null),0.016,0
NRSROT20100617,Rottnest Island,-32,115.41667,2010-06-17 10:05:00,(null),0.032,0,0.04,0,(null),0,0,0.007,0,0.023,0.078,0.009,0,0.016,0.005,0.061,0.008,0,0.016,0,0,0.02,0,0,0.035,0,0,0,0,0.07,0.07,0.01,0.37,0.38,0,0,0,0,(null),(null),0.02,0
NRSROT20130712,Rottnest Island,-32,115.41667,2013-07-12 12:35:00,(null),0.029,0,0.039,0,(null),0.011,0,0.006,0,0.011,0.037,0.003,0,0.01,0.001,0.034,0,0,0.007,0,0,0.006,0,0,0.025,0,0,0,0,0.053,0.053,0,0.337,0.337,0,0,0,0,(null),(null),0.009,0
NRSDAR20120114_23:35,Darwin,-12.4,130.76805,2012-01-15 09:05:00,(null),0,0,0.056,0.04,(null),0,0,0,0,0,0.317,0.007,0,0.02,0.007,0.017,0,0,0.031,0,0,0.013,0,0,0.156,0,0,0,0,0.069,0.069,0,0.854,0.854,0,0,0,0,(null),(null),0.066,0
NRSDAR20120730_01:30,Darwin,-12.4,130.76805,2012-07-30 11:00:00,(null),0.042,0,0.062,0.019,(null),0,0,0,0,0,0.188,0,0,0.021,0,0.035,0,0,0.022,0,0,0.013,0,0,0.124,0,0,0,0,0.092,0.092,0,0.838,0.838,0,0,0,0,(null),(null),0.053,0
NRSROT20111122,Rottnest Island,-32,115.41667,2011-11-22 15:08:00,(null),0.017,0,0.024,0.004,(null),0,0,0.006,0,0.019,0.038,0,0,0.004,0.003,0.03,0,0,0.023,0,0,0.009,0,0,0.021,0,0,0,0,0.02,0.02,0.009,0.181,0.19,0,0,0,0,(null),(null),0.008,0
NRSNSI20110816,North Stradbroke,-27.345,153.562,2011-08-16 10:00:00,(null),0.009,0,0.017,0,(null),0.013,0,0,0,0.016,0.015,0,0,0,0,0.036,0,0,0.005,0,0,0,0,0,0.019,0,0,0,0,0.014,0.014,0.004,0.091,0.095,0,0,0,0,(null),(null),0.002,0
NRSNSI20120229,North Stradbroke,-27.345,153.562,2012-03-01 09:45:00,(null),0.019,0,0.019,0,(null),0.019,0,0.006,0,0.019,0.017,0.011,0,0.005,0.002,0.027,0,0,0.004,0,0,0,0,0,0.06,0.024,0,0,0,0.059,0.059,0.036,0.24,0.276,0,0,0,0,(null),(null),0.016,0
NRSYON20150224,Yongala,-19.30847,147.61842,2015-02-24 10:40:00,(null),0.013,0,0.024,0,(null),0.013,0,0,0,0.011,0.035,0.002,0,0.007,0.005,0.035,0.009,0,0.011,0,0.002,0,0,0,0.146,0,0,0,0,0.026,0.026,0.037,0.649,0.686,0,0,0,0,(null),(null),0.069,0
NRSROT20150701,Rottnest Island,-32,115.41667,2015-07-01 09:46:00,(null),0.045,0,0.056,0,(null),0.054,0,0.01,0,0.023,0.083,0.009,0,0.02,0.007,0.062,0.002,0,0.013,0,0,0.016,0,0,0.022,0,0,0,0,0.064,0.064,0.006,0.368,0.374,0,0,0,0,(null),(null),0.015,0
NRSPHB20150330,Port Hacking,-34.11923,151.22667,2015-03-31 09:32:00,(null),0.017,0,0.024,0,(null),0.007,0,0.004,0,0.018,0.017,0.005,0,0.006,0.003,0.039,0.008,0,0.009,0,0,0.002,0,0,0.055,0.004,0,0,0.005,0.037,0.042,0.06,0.222,0.282,0,0,0,0,(null),(null),0.022,0
NRSMAI20150723,Maria Island,-42.59667,148.23333,2015-07-23 10:45:00,(null),0.043,0,0.079,0,(null),0.028,0,0,0,0.045,0.118,0.015,0,0.034,0.011,0.096,0,0,0.028,0,0,0.022,0,0,0.015,0,0,0,0,0.13,0.13,0,0.674,0.674,0,0,0,0,(null),(null),0.024,0
NRSROT20120221,Rottnest Island,-32,115.41667,2012-02-21 09:40:00,(null),0.01,0,0.015,0.003,(null),0,0,0.006,0,0.01,0.023,0,0,0.003,0,0.02,0,0,0.005,0,0,0,0,0.005,0.051,0,0,0,0.003,0.027,0.03,0.027,0.134,0.161,0,0,0,0,(null),(null),0.012,0
NRSNSI20111013,North Stradbroke,-27.345,153.562,2011-10-13 10:30:00,(null),0.015,0,0.028,0,(null),0.014,0,0,0,0.024,0.051,0.003,0,0,0,0.03,0,0,0.006,0,0,0,0,0,0.024,0.006,0,0,0,0.043,0.043,0.01,0.207,0.217,0,0,0,0,(null),(null),0.009,0
NRSDAR20130617_08:00,Darwin,-12.4,130.76805,2013-06-17 17:30:00,(null),0.035,0,0.059,0.021,(null),0,0,0,0,0,0.151,0.01,0,0.03,0.007,0.032,0,0,0.019,0,0,0.011,0,0,0.129,0,0,0,0,0.092,0.092,0,0.75,0.75,0,0,0,0,(null),(null),0.067,0
NRSYON20100521,Yongala,-19.30847,147.61842,2010-05-21 12:56:00,(null),0.024,0,0,0.005,(null),0.143,0,0,0,0.012,0.089,0,0,0,0,0.046,0,0,0.017,0,0,0,0,0,0.057,0,0,0,0,0.012,0.012,0,0.314,0.314,0,0,0,0,(null),(null),0.018,0
NRSYON20101101,Yongala,-19.30847,147.61842,2010-11-01 11:45:00,(null),0,0,0.006,0,(null),0,0,0,0,0.009,0.012,0,0,0,0,0.02,0.007,0,0.008,0,0,0,0,0,0.086,0,0,0,0.011,0,0.011,0.052,0.087,0.139,0,0,0,0,(null),(null),0.014,0
NRSYON20110118,Yongala,-19.30847,147.61842,2011-01-18 11:30:00,(null),0.026,0,0.042,0,(null),0.162,0,0.009,0,0.011,0.074,0,0,0.005,0.002,0.044,0,0,0.016,0,0,0,0,0,0.077,0,0,0,0.005,0.015,0.02,0.014,0.189,0.203,0,0,0,0,(null),(null),0.02,0
NRSYON20110217,Yongala,-19.30847,147.61842,2011-02-17 11:30:00,(null),0.013,0,0.02,0,(null),0.02,0,0,0,0.007,0.055,0,0,0,0,0.025,0.005,0,0.009,0,0.003,0.003,0,0,0.188,0,0,0,0,0.014,0.014,0.016,0.605,0.621,0,0,0,0,(null),(null),0.066,0
NRSYON20110414,Yongala,-19.30847,147.61842,2011-04-14 11:27:00,(null),0.039,0,0.044,0,(null),0.027,0,0,0,0.008,0.131,0.004,0,0.012,0.002,0.04,0,0,0.016,0,0,0.003,0,0,0.07,0,0,0,0,0.037,0.037,0,0.399,0.399,0,0,0,0,(null),(null),0.024,0
NRSYON20110811,Yongala,-19.30847,147.61842,2011-08-11 11:00:00,(null),0.01,0,0.014,0,(null),0.012,0,0,0,0.01,0.016,0,0,0,0,0.031,0,0,0.007,0,0,0,0,0,0.07,0,0,0,0,0.008,0.008,0.028,0.126,0.154,0,0,0,0,(null),(null),0.011,0
NRSYON20121026,Yongala,-19.30847,147.61842,2012-10-26 11:20:00,(null),0.011,0,0.014,0,(null),0.012,0,0,0,0.009,0.017,0,0,0,0,0.023,0,0,0.012,0,0,0,0,0,0.063,0,0,0,0.003,0.007,0.01,0.039,0.213,0.252,0,0,0,0,(null),(null),0.023,0
NRSYON20121219,Yongala,-19.30847,147.61842,2012-12-19 10:20:00,(null),0.015,0,0.023,0,(null),0.007,0,0.007,0,0.012,0.025,0,0,0,0.002,0.031,0,0,0.012,0,0,0,0,0,0.095,0,0,0,0.005,0.016,0.021,0.051,0.322,0.373,0,0,0,0,(null),(null),0.035,0
NRSYON20130808,Yongala,-19.30847,147.61842,2013-08-08 10:58:00,(null),0.009,0,0.012,0,(null),0.004,0,0,0,0.005,0.01,0,0,0,0.002,0.023,0,0,0.008,0,0,0,0,0,0.077,0,0,0,0,0.007,0.007,0.029,0.234,0.263,0,0,0,0,(null),(null),0.024,0
NRSYON20130912,Yongala,-19.30847,147.61842,2013-09-12 11:26:00,(null),0.033,0,0.071,0,(null),0.182,0,0.01,0,0.022,0.116,0.003,0,0.004,0.004,0.049,0,0,0.044,0,0.01,0,0,0.007,0.324,0,0,0,0,0.03,0.03,0.042,2.559,2.601,0,0,0,0,(null),(null),0.252,0
NRSNIN20111107,Ningaloo,-21.99,113.779,2011-11-07 10:00:00,(null),0.032,0,0.032,0.005,(null),0,0,0.008,0,0.029,0.027,0.005,0,0.008,0.003,0.067,0.007,0,0.018,0,0,0.007,0,0,0.086,0,0,0,0.011,0.046,0.057,0.084,0.239,0.323,0,0,0,0,(null),(null),0.026,0
