NRS_CODE,Station,Latitude,Longitude,SampleDateLocal,Biomass_mgm3
NRSKAI20140122_ZOOBIOWC,Kangaroo Island,-35.83217,136.44733,2014-01-22,40.46962
NRSKAI20140313_ZOOBIOWC,Kangaroo Island,-35.83217,136.44733,2014-03-13,112.40893
NRSKAI20140507_ZOOBIOWC,Kangaroo Island,-35.83217,136.44733,2014-05-07,151.46757
NRSKAI20140713_ZOOBIOWC,Kangaroo Island,-35.83217,136.44733,2014-07-13,3.87934
NRSKAI20141029_ZOOBIOWC,Kangaroo Island,-35.83217,136.44733,2014-10-29,5.21253
NRSKAI20141201_ZOOBIOWC,Kangaroo Island,-35.83217,136.44733,2014-12-02,45.93323
NRSKAI20150224_ZOOBIOWC,Kangaroo Island,-35.83217,136.44733,2015-02-25,9.69304
NRSKAI20150408_ZOOBIOWC,Kangaroo Island,-35.83217,136.44733,2015-04-09,1.01138
NRSKAI20150629_ZOOBIOWC,Kangaroo Island,-35.83217,136.44733,2015-06-30,0.43496
NRSKAI20150909_ZOOBIOWC,Kangaroo Island,-35.83217,136.44733,2015-09-09,15.80734
NRSKAI20151116_ZOOBIOWC,Kangaroo Island,-35.83217,136.44733,2015-11-17,6.52097
NRSKAI20160223_ZOOBIOWC,Kangaroo Island,-35.83217,136.44733,2016-02-24,14.23721
NRSKAI20160525_ZOOBIOWC,Kangaroo Island,-35.83217,136.44733,2016-05-26,7.49427
NRSKAI20160915_ZOOBIOWC,Kangaroo Island,-35.83217,136.44733,2016-09-15,17.11931
NRSKAI20161118_ZOOBIOWC,Kangaroo Island,-35.83217,136.44733,2016-11-18,11.22427
NRSKAI20170315_ZOOBIOWC,Kangaroo Island,-35.83217,136.44733,2017-03-15,33.89914
NRSKAI20170518_ZOOBIOWC,Kangaroo Island,-35.83217,136.44733,2017-05-18,5.59445
NRSKAI20170908_ZOOBIOWC,Kangaroo Island,-35.83217,136.44733,2017-09-08,8.16535
NRSKAI20171129_ZOOBIOWC,Kangaroo Island,-35.83217,136.44733,2017-11-29,7.44041
NRSKAI20180307_ZOOBIOWC,Kangaroo Island,-35.83217,136.44733,2018-03-07,15.54919
NRSKAI20180515_ZOOBIOWC,Kangaroo Island,-35.83217,136.44733,2018-05-16,4.44161
NRSKAI20180820_ZOOBIOWC,Kangaroo Island,-35.83217,136.44733,2018-08-21,21.02694
NRSKAI20181204_ZOOBIOWC,Kangaroo Island,-35.83217,136.44733,2018-12-04,10.77869
NRSKAI20190320_ZOOBIOWC,Kangaroo Island,-35.83217,136.44733,2019-03-20,12.09774
NRSKAI20190514_ZOOBIOWC,Kangaroo Island,-35.83217,136.44733,2019-05-14,6.5245
NRSKAI20190909_ZOOBIOWC,Kangaroo Island,-35.83217,136.44733,2019-09-10,1.20234
NRSKAI20191127_ZOOBIOWC,Kangaroo Island,-35.83217,136.44733,2019-11-27,9.37477
NRSMAI20090421_ZOOBIOWC,Maria Island,-42.59667,148.23333,2009-04-21,3.13848
NRSMAI20090506_ZOOBIOWC,Maria Island,-42.59667,148.23333,2009-05-06,4.04466
NRSMAI20090601_ZOOBIOWC,Maria Island,-42.59667,148.23333,2009-06-01,36.12348
NRSMAI20090716_ZOOBIOWC,Maria Island,-42.59667,148.23333,2009-07-16,2.15273
NRSMAI20090820_ZOOBIOWC,Maria Island,-42.59667,148.23333,2009-08-20,1.94055
NRSMAI20090907_ZOOBIOWC,Maria Island,-42.59667,148.23333,2009-09-07,0.50834
NRSMAI20091013_ZOOBIOWC,Maria Island,-42.59667,148.23333,2009-10-13,10.30836
NRSMAI20091111_ZOOBIOWC,Maria Island,-42.59667,148.23333,2009-11-11,32.52086
NRSMAI20091207_ZOOBIOWC,Maria Island,-42.59667,148.23333,2009-12-07,57.09827
NRSMAI20100120_ZOOBIOWC,Maria Island,-42.59667,148.23333,2010-01-21,7.67381
NRSMAI20100330_ZOOBIOWC,Maria Island,-42.59667,148.23333,2010-03-30,7.06379
NRSMAI20100505_ZOOBIOWC,Maria Island,-42.59667,148.23333,2010-05-05,8.77006
NRSMAI20100527_ZOOBIOWC,Maria Island,-42.59667,148.23333,2010-05-27,4.16401
NRSMAI20100615_ZOOBIOWC,Maria Island,-42.59667,148.23333,2010-06-15,2.14389
NRSMAI20100722_ZOOBIOWC,Maria Island,-42.59667,148.23333,2010-07-22,0.49066
NRSMAI20101001_ZOOBIOWC,Maria Island,-42.59667,148.23333,2010-10-01,2.71854
NRSMAI20101027_ZOOBIOWC,Maria Island,-42.59667,148.23333,2010-10-27,13.44684
NRSMAI20101214_ZOOBIOWC,Maria Island,-42.59667,148.23333,2010-12-14,26.42513
NRSMAI20110118_ZOOBIOWC,Maria Island,-42.59667,148.23333,2011-01-19,10.45424
NRSMAI20110223_ZOOBIOWC,Maria Island,-42.59667,148.23333,2011-02-23,8.83637
NRSMAI20110328_ZOOBIOWC,Maria Island,-42.59667,148.23333,2011-03-29,8.9292
NRSMAI20110407_ZOOBIOWC,Maria Island,-42.59667,148.23333,2011-04-07,4.26568
NRSMAI20110531_ZOOBIOWC,Maria Island,-42.59667,148.23333,2011-05-31,2.0378
NRSMAI20110725_ZOOBIOWC,Maria Island,-42.59667,148.23333,2011-07-25,0.25638
NRSMAI20110812_ZOOBIOWC,Maria Island,-42.59667,148.23333,2011-08-12,0.65421
NRSMAI20111005_ZOOBIOWC,Maria Island,-42.59667,148.23333,2011-10-05,11.93507
NRSMAI20111026_ZOOBIOWC,Maria Island,-42.59667,148.23333,2011-10-26,14.92326
NRSMAI20111214_ZOOBIOWC,Maria Island,-42.59667,148.23333,2011-12-15,6.97538
NRSMAI20120119_ZOOBIOWC,Maria Island,-42.59667,148.23333,2012-01-19,12.92524
NRSMAI20120222_ZOOBIOWC,Maria Island,-42.59667,148.23333,2012-02-22,2.52846
NRSMAI20120326_ZOOBIOWC,Maria Island,-42.59667,148.23333,2012-03-27,3.88994
NRSMAI20120412_ZOOBIOWC,Maria Island,-42.59667,148.23333,2012-04-12,2.34723
NRSMAI20120524_ZOOBIOWC,Maria Island,-42.59667,148.23333,2012-05-24,31.38482
NRSMAI20120621_ZOOBIOWC,Maria Island,-42.59667,148.23333,2012-06-21,1.32611
NRSMAI20120724_ZOOBIOWC,Maria Island,-42.59667,148.23333,2012-07-24,1.76815
NRSMAI20120820_ZOOBIOWC,Maria Island,-42.59667,148.23333,2012-08-20,1.94939
NRSMAI20121002_ZOOBIOWC,Maria Island,-42.59667,148.23333,2012-10-02,11.35158
NRSMAI20121017_ZOOBIOWC,Maria Island,-42.59667,148.23333,2012-10-18,22.72084
NRSMAI20121112_ZOOBIOWC,Maria Island,-42.59667,148.23333,2012-11-13,17.11135
NRSMAI20130129_ZOOBIOWC,Maria Island,-42.59667,148.23333,2013-01-30,18.95908
NRSMAI20130214_ZOOBIOWC,Maria Island,-42.59667,148.23333,2013-02-14,9.89238
NRSMAI20130313_ZOOBIOWC,Maria Island,-42.59667,148.23333,2013-03-14,4.51764
NRSMAI20130424_ZOOBIOWC,Maria Island,-42.59667,148.23333,2013-04-24,8.31689
NRSMAI20130611_ZOOBIOWC,Maria Island,-42.59667,148.23333,2013-06-11,2.9926
NRSMAI20130807_ZOOBIOWC,Maria Island,-42.59667,148.23333,2013-08-07,2.81431
NRSMAI20130821_ZOOBIOWC,Maria Island,-42.59667,148.23333,2013-08-21,0.67632
NRSMAI20130924_ZOOBIOWC,Maria Island,-42.59667,148.23333,2013-09-24,0.21723
NRSMAI20131117_ZOOBIOWC,Maria Island,-42.59667,148.23333,2013-11-18,8.51622
NRSMAI20131217_ZOOBIOWC,Maria Island,-42.59667,148.23333,2013-12-17,19.56467
NRSMAI20140122_ZOOBIOWC,Maria Island,-42.59667,148.23333,2014-01-23,20.30318
NRSMAI20140205_ZOOBIOWC,Maria Island,-42.59667,148.23333,2014-02-05,21.86546
NRSMAI20140318_ZOOBIOWC,Maria Island,-42.59667,148.23333,2014-03-19,41.08258
NRSMAI20140408_ZOOBIOWC,Maria Island,-42.59667,148.23333,2014-04-08,4.68447
NRSMAI20140516_ZOOBIOWC,Maria Island,-42.59667,148.23333,2014-05-16,7.83501
NRSMAI20140619_ZOOBIOWC,Maria Island,-42.59667,148.23333,2014-06-19,1.29193
NRSMAI20140703_ZOOBIOWC,Maria Island,-42.59667,148.23333,2014-07-03,0.70254
NRSMAI20140807_ZOOBIOWC,Maria Island,-42.59667,148.23333,2014-08-07,0.18565
NRSMAI20140821_ZOOBIOWC,Maria Island,-42.59667,148.23333,2014-08-21,1.15048
NRSMAI20140915_ZOOBIOWC,Maria Island,-42.59667,148.23333,2014-09-16,21.9346
NRSMAI20141029_ZOOBIOWC,Maria Island,-42.59667,148.23333,2014-10-30,11.66984
NRSMAI20141127_ZOOBIOWC,Maria Island,-42.59667,148.23333,2014-11-28,11.00502
NRSMAI20141208_ZOOBIOWC,Maria Island,-42.59667,148.23333,2014-12-09,4.19053
NRSMAI20150224_ZOOBIOWC,Maria Island,-42.59667,148.23333,2015-02-25,4.54534
