NRS_TRIP_CODE,Station,Latitude,Longitude,SampleDateLocal,SampleDepth_m,PROCHLOROCOCCUS_CELLSPERML,SYNECOCHOCCUS_CELLSPERML,PICOEUKARYOTES_CELLSPERML
NRSDAR20181030,Darwin,-12.4,130.76805,2018-10-31 08:26:00,0,286.5,181622.84,5751.3
NRSDAR20191105,Darwin,-12.4,130.76805,2019-11-06 07:38:00,0,(null),(null),(null)
NRSDAR20191105,Darwin,-12.4,130.76805,2019-11-06 07:38:00,15.5,(null),(null),(null)
NRSDAR20200203_2130,Darwin,-12.4,130.76805,2020-02-04 07:00:00,0,(null),(null),(null)
NRSDAR20200203_2130,Darwin,-12.4,130.76805,2020-02-04 07:00:00,10,(null),(null),(null)
NRSPHB20191118,Port Hacking,-34.11923,151.22667,2019-11-19 09:15:00,10,(null),(null),(null)
NRSYON20180602,Yongala,-19.30847,147.61842,2018-06-03 09:10:00,26,18365.925,77856.155,2651.02
NRSYON20180720,Yongala,-19.30847,147.61842,2018-07-20 10:56:00,26,27310.415,24752.195,1660.98
NRSROT20180727,Rottnest Island,-32,115.41667,2018-07-27 09:33:00,0,1110.87,23581.76,8784.965
NRSROT20180921,Rottnest Island,-32,115.41667,2018-09-21 09:27:00,40,2264.23,5584.08,10719.29
NRSKAI20180515,Kangaroo Island,-35.83217,136.44733,2018-05-16 08:15:00,0,19403.435,19190.225,7996.035
NRSKAI20180515,Kangaroo Island,-35.83217,136.44733,2018-05-16 08:15:00,10,19892.665,18724.585,7918.795
NRSKAI20180515,Kangaroo Island,-35.83217,136.44733,2018-05-16 08:15:00,100,14566.255,9795.1,6225.885
NRSNSI20190723,North Stradbroke,-27.345,153.562,2019-07-23 10:20:00,10,(null),(null),(null)
NRSNSI20180817,North Stradbroke,-27.345,153.562,2018-08-17 10:20:00,50,7390.155,7498.07,1187.985
NRSNSI20190821,North Stradbroke,-27.345,153.562,2019-08-21 10:40:00,40,(null),(null),(null)
NRSYON20181123,Yongala,-19.30847,147.61842,2018-11-23 10:05:00,0,(null),(null),(null)
NRSPHB20190923,Port Hacking,-34.11923,151.22667,2019-09-24 09:36:00,10,(null),(null),(null)
NRSNSI20190916,North Stradbroke,-27.345,153.562,2019-09-16 10:20:00,10,(null),(null),(null)
NRSNSI20190916,North Stradbroke,-27.345,153.562,2019-09-16 10:20:00,30,(null),(null),(null)
NRSDAR20190723_0030,Darwin,-12.4,130.76805,2019-07-23 10:00:00,0,(null),(null),(null)
NRSDAR20190723_0030,Darwin,-12.4,130.76805,2019-07-23 10:00:00,10,(null),(null),(null)
