NRS_TRIP_CODE,SAMPLE_DEPTH_M,TSS_MG_PER_L,TSS_FLAG,INORGANIC_FRACTION_MG_PER_L,ORGANIC_FRACTION_MG_PER_L,SECCHI_DEPTH_M,SECCHI_FLAG
NRSMAI20120119,0,0.3,1,0.1,0.3,15,0
NRSYON20110217,0,2,1,1.6,0.4,10,0
NRSYON20110217,0,2.3,1,1.8,0.5,10,0
NRSMAI20110223,0,0.1,1,0.1,0.1,23,0
NRSROT20110224,0,0.4,1,0.2,0.2,18,0
NRSDAR20120114_23:35,0,(null),9,(null),(null),2,1
NRSDAR20120115_05:40,0,(null),9,(null),(null),1.75,0
NRSNSI20101215,0,1.6,1,1.4,0.3,21,0
NRSROT20111122,0,0.8,1,0.3,0.5,21.5,0
NRSROT20111122,0,0.9,1,0.4,0.5,21.5,0
NRSNSI20090916,0,(null),9,(null),(null),19,0
NRSYON20100413,0,1.6,1,1.3,0.3,13,0
NRSYON20100413,0,1.3,1,1.1,0.2,13,0
NRSNSI20110119,0,1.2,1,0.7,0.5,12,0
NRSROT20110622,0,0.4,1,0.2,0.2,12,0
NRSPHB20090223,0,5,2,4.2,0.9,17.75,0
NRSYON20091123,0,2.5,1,1.3,1.3,14,0
NRSYON20091123,0,6.9,2,5.2,1.8,14,0
NRSNSI20101115,0,1,1,0.6,0.4,16,0
NRSKAI20111219,0,27.5,4,23,4.5,(null),0
NRSKAI20111219,0,23.9,4,20,3.9,(null),0
NRSYON20110908,0,1,1,0.7,0.3,13,0
NRSYON20110908,0,1,1,0.7,0.3,13,0
NRSKAI20091215,0,16.9,0,14.5,2.4,(null),0
NRSKAI20091115,0,2.1,0,1,1.1,(null),0
NRSKAI20090114,0,(null),9,(null),(null),13.5,0
NRSMAI20090601,0,1.4,2,0.3,1.1,17,0
NRSKAI20091007,0,0.3,0,0.1,0.3,(null),0
NRSPHB20100510,0,2.8,1,2,0.9,19.5,0
NRSNSI20100520,0,1.4,1,0.9,0.5,16,0
NRSPHB20100702,0,0.7,1,0.5,0.2,13.5,0
NRSNSI20100817,0,2.5,1,1.9,0.7,20,0
NRSPHB20100817,0,1.3,1,0.9,0.4,15,0
NRSNSI20100916,0,1,1,0.7,0.3,13.5,0
NRSMAI20101001,0,2.9,1,2.3,0.6,16,0
NRSMAI20101027,0,0.7,1,0.3,0.5,13,0
NRSKAI20110123,0,4.2,0,2.6,1.6,(null),0
NRSNSI20110220,0,1.1,1,0.6,0.5,23,0
NRSKAI20110223,0,1.3,0,0.8,0.5,(null),0
NRSNSI20110323,0,0.6,1,0.3,0.3,27,0
NRSPHB20110329,0,0.3,1,0,0.3,21,0
NRSMAI20110407,0,0.1,1,0,0.1,17,0
NRSNSI20110606,0,0.6,1,0.4,0.3,22,0
NRSPHB20110717,0,1.6,1,1.1,0.5,10,0
NRSMAI20110725,0,0.7,1,0.2,0.5,13,0
NRSPHB20110829,0,0.7,1,0.3,0.4,26,0
NRSPHB20110914,0,11.3,4,9.9,1.4,15,0
NRSPHB20110914,0,8.2,4,7,1.3,15,0
NRSNSI20110915,0,1.2,1,0.8,0.5,17,0
NRSKAI20111026,0,4.4,0,3.5,0.9,(null),9
NRSKAI20111115,0,1.8,0,1.5,0.3,(null),0
NRSKAI20111115,0,0.9,0,0.5,0.4,(null),0
NRSDAR20120417,0,4.3,1,3,0.8,6,0
NRSDAR20120417,0,4.6,1,2.5,1.4,6,0
NRSDAR20120729_16:30,0,11.3,1,9.8,1.5,(null),9
NRSDAR20120729_16:30,0,12.5,1,10.9,1.6,(null),9
NRSDAR20120729_19:30,0,13.5,1,10.8,2.7,(null),9
NRSDAR20120729_19:30,0,10.7,1,7.9,2.8,(null),9
NRSDAR20120729_22:30,0,10.5,1,8.8,1.8,4,0
NRSDAR20120729_22:30,0,10.8,1,16.5,0,4,0
NRSDAR20120730_01:30,0,7.3,1,5.3,2,4,0
NRSDAR20120730_01:30,0,7.7,1,5.6,2.1,4,0
NRSMAI20120621,0,1.3,1,0.7,0.6,16,0
