SAMPLE,WATERDEPTH_M,SST_C,CHL_AVG,CHL
239-29,-55.274375,28.53,0.3576,0.297797918
315-38,-3709.010581,13.05,0.184,0.265218407
315-42,-2904.591394,13.4,0.2686,0.2746512
302-41,-113.44125,21.34,0.318,0.415019572
306-49,-157.001875,14.38,0.2891,0.262275308
360-49,-4536.306875,12.91,0.5375,(null)
348-25,-2629.7075,17.5,0.3269,0.316320419
139-91,0.1121,(null),0.2143,(null)
149-64,-3002.785525,4.8896466,0.1429,(null)
140-67,0.1121,(null),0.1807,(null)
140-81,-4374.772281,5.589716,0.1557,(null)
141-7,-4283.352438,5.5865216,0.1542,(null)
220-86,-4551.8297,2.6055494,0.9254,(null)
221-51,0.1121,12.79,0.1982,0.170927569
304-21,-72.849375,20.7,0.3079,0.421555132
324-57,-1719.625,16.68,0.1546,0.123620547
325-53,-4597.101875,18.2,0.3174,0.097910345
244-45,-115.350625,19.37,0.157,0.304006666
136-5,-449.4546438,17.84,0.2035,0.288494229
155-29,0.1121,5.45,0.1705,0.115197621
158-37,0.1121,1.31,0.2717,0.174364626
164-2,0.1121,6.18,0.1873,0.166739836
165-61,-4358.505063,10.63,0.16,0.283107758
2-76,0.1121,(null),0.2448,(null)
8-69,-161.1306125,14.32,0.2876,0.653417587
66-10,-113.589375,23.2157573,0.1333,(null)
12-5,-673.2382688,25.2,0.1114,0.210540861
94-33,-3612.281901,12.29,0.2833,0.252922475
94-38,-4005.928519,13.24,0.1245,0.303378433
190-65,-1279.025856,18.51,0.1431,0.342015773
117-17,-5521.290969,16.99,0.1256,0.156361282
296-57,-307.48625,26.69,0.4001,0.109062284
297-33,-71.37625,23.66,0.208,0.215179488
297-65,-104.341875,23.56,0.3189,0.195992872
348-21,-2611.141875,18.16,0.4119,0.288770884
149-66,-3057.289244,4.8302021,0.1965,(null)
149-87,-3588.9206,4.2499938,0.102,(null)
164-37,0.1121,4.81,0.2899,(null)
163-5,0.1121,11.15,0.2211,0.21181871
220-48,-4355.668031,0.52,0.28,0.190168396
143-61,-3334.254606,6.9375632,0.1162,(null)
140-10,0.1121,(null),0.2055,(null)
140-43,-3916.287825,3.7048549,0.1827,(null)
322-33,-657.3275,20.26,0.2811,0.338310391
108-25,-2971.878113,17.66,0.2711,0.610870242
8-41,-1816.275444,17.78,0.165,0.515756309
18-50,-139.315625,21.9078406,0.4493,(null)
132-1,-3241.188575,14.98,0.134,0.508541584
194-53,-1264.090481,24.35,0.1455,0.091702305
1-10,0.1121,22.4708267,0.1289,(null)
2-96,0.1121,(null),0.1566,(null)
51-30,-84.73375,22.4708267,0.1409,(null)
67-73,-50.88851875,14.81,0.3859,0.320019662
53-5,-4907.313925,13.68,0.2508,0.218482658
86-4,0.1121,10.67,0.2375,0.122942962
87-52,-4631.763131,5.03,0.1736,0.183688447
92-9,-3303.239538,3.78,0.1768,0.106048882
92-48,0.1121,8.63,0.1439,0.095181853
64-25,-118.693125,26.78,0.1523,0.174599811
144-73,0.1121,3.52,0.1272,0.116116956
158-6,0.1121,2.35,0.3896,0.170693815
161-43,-4194.592525,6.12,0.3989,0.18093814
161-45,-4200.252319,6.25,0.3735,0.17322731
166-46,-3350.6434,3.25,0.1394,0.130917519
169-29,-1543.471531,16.02,0.243,0.42414549
178-5,-74.79125,17.75,0.2789,0.377386093
178-61,-47.4425,18.15,0.29,0.573195338
162-25,-3422.072213,7.76,0.1595,0.174911901
162-61,-3611.13185,9.7,0.1515,0.216554984
207-23,0.1121,10.59,0.1547,(null)
207-27,0.1121,9.26,0.1933,(null)
191-49,-4365.508213,14.47,0.1632,(null)
214-57,-54.971875,16.0652713,0.5453,0.286516488
212-17,-68.275,15.2736741,0.5067,0.476401836
