NRS_CODE,SAMPLE,STATION,LATITUDE,LONGITUDE,SAMPLEDATE
ROT20100416,1224,Rottnest Island,-32,115.41667,2010-04-16 08:30:00
YON20110323,1343,Yongala,-19.30847,147.61842,2011-03-23 10:49:00
PHB20110829,1351,Port Hacking,-34.11923,151.22667,2011-08-29 10:03:00
MAI20110812,1359,Maria Island,-42.59667,148.23333,2011-08-12 10:55:00
KAI20120116,1414,Kangaroo Island,-35.83217,136.44733,2012-01-17 07:00:00
ROT20120130,1396,Rottnest Island,-32,115.41667,2012-01-30 11:09:00
ROT20120504,1728,Rottnest Island,-32,115.41667,2012-05-04 13:00:00
NIN20130806,3095,Ningaloo,-21.99,113.779,2013-08-06 14:03:00
MAI20140408,5475,Maria Island,-42.59667,148.23333,2014-04-08 11:03:00
ROT20131001,5494,Rottnest Island,-32,115.41667,2013-10-01 11:55:00
YON20140122,5045,Yongala,-19.30847,147.61842,2014-01-22 10:00:00
MAI20140807,5631,Maria Island,-42.59667,148.23333,2014-08-07 12:00:00
DAR20140403,5501,Darwin,-12.4,130.76805,2014-04-04 08:03:00
PHB20140612,5761,Port Hacking,-34.11923,151.22667,2014-06-13 09:20:00
YON20140910,5929,Yongala,-19.30847,147.61842,2014-09-10 10:35:00
KAI20141029,7108,Kangaroo Island,-35.83217,136.44733,2014-10-29 11:00:00
ROT20141014,6723,Rottnest Island,-32,115.41667,2014-10-14 11:52:00
NSI20150512,7464,North Stradbroke,-27.345,153.562,2015-05-12 10:15:00
MAI20151001,7962,Maria Island,-42.59667,148.23333,2015-10-01 11:05:00
MAI20110118,1307,Maria Island,-42.59667,148.23333,2011-01-19 10:30:00
YON20100909,1289,Yongala,-19.30847,147.61842,2010-09-09 11:00:00
NSI20110816,1355,North Stradbroke,-27.345,153.562,2011-08-16 10:00:00
PHB20111117,1364,Port Hacking,-34.11923,151.22667,2011-11-18 09:36:00
MAI20111026,1404,Maria Island,-42.59667,148.23333,2011-10-26 11:00:00
MAI20120412,1409,Maria Island,-42.59667,148.23333,2012-04-12 10:45:00
NSI20130520,1797,North Stradbroke,-27.345,153.562,2013-05-20 10:05:00
NSI20130913,3290,North Stradbroke,-27.345,153.562,2013-09-13 10:25:00
PHB20121120,3301,Port Hacking,-34.11923,151.22667,2012-11-21 09:30:00
NSI20130706,3018,North Stradbroke,-27.345,153.562,2013-07-07 09:40:00
KAI20130220,1753,Kangaroo Island,-35.83217,136.44733,2013-02-21 07:20:00
NSI20140507,5459,North Stradbroke,-27.345,153.562,2014-05-07 10:25:00
MAI20140205,5461,Maria Island,-42.59667,148.23333,2014-02-05 11:05:00
YON20120402,1435,Yongala,-19.30847,147.61842,2012-04-02 10:44:00
YON20121129,1488,Yongala,-19.30847,147.61842,2012-11-29 10:40:00
YON20130611,5446,Yongala,-19.30847,147.61842,2013-06-11 13:34:00
PHB20140515,5747,Port Hacking,-34.11923,151.22667,2014-05-16 09:35:00
NSI20141223,6966,North Stradbroke,-27.345,153.562,2014-12-23 10:35:00
ROT20140730,5945,Rottnest Island,-32,115.41667,2014-07-30 10:03:00
DAR20140906_00:30,5663,Darwin,-12.4,130.76805,2014-09-06 10:00:00
PHB20100218,1594,Port Hacking,-34.11923,151.22667,2010-02-19 09:05:00
YON20141209,7524,Yongala,-19.30847,147.61842,2014-12-09 10:04:00
PHB20150225,7338,Port Hacking,-34.11923,151.22667,2015-02-26 09:37:00
DAR20150505,7554,Darwin,-12.4,130.76805,2015-05-06 08:24:00
NSI20150528,7479,North Stradbroke,-27.345,153.562,2015-05-28 10:15:00
NSI20150624,7691,North Stradbroke,-27.345,153.562,2015-06-24 10:30:00
YON20150618,7676,Yongala,-19.30847,147.61842,2015-06-18 10:55:00
KAI20150629,7847,Kangaroo Island,-35.83217,136.44733,2015-06-30 07:35:00
PHB20150723,7947,Port Hacking,-34.11923,151.22667,2015-07-23 10:07:00
KAI20150909,8062,Kangaroo Island,-35.83217,136.44733,2015-09-09 12:50:00
NSI20150907,7817,North Stradbroke,-27.345,153.562,2015-09-07 10:40:00
DAR20160201_2130,8690,Darwin,-12.4,130.76805,2016-02-02 07:00:00
MAI20160720,8796,Maria Island,-42.59667,148.23333,2016-07-21 09:30:00
DAR20160530,8902,Darwin,-12.4,130.76805,2016-05-31 07:50:00
PHB20170419,9822,Port Hacking,-34.11923,151.22667,2017-04-19 10:00:00
MAI20180116,10466,Maria Island,-42.59667,148.23333,2018-01-17 10:30:00
NSI20170217,9487,North Stradbroke,-27.345,153.562,2017-02-17 10:30:00
YON20170816,10379,Yongala,-19.30847,147.61842,2017-08-16 10:24:00
MAI20171123,10428,Maria Island,-42.59667,148.23333,2017-11-24 09:50:00
YON20170906,10394,Yongala,-19.30847,147.61842,2017-09-06 10:00:00
MAI20170104,9409,Maria Island,-42.59667,148.23333,2017-01-05 09:45:00
NSI20171219,10447,North Stradbroke,-27.345,153.562,2017-12-19 10:45:00
ROT20161114,9441,Rottnest Island,-32,115.41667,2016-11-14 09:45:00
PHB20171211,10693,Port Hacking,-34.11923,151.22667,2017-12-12 08:54:00
YON20171025,10563,Yongala,-19.30847,147.61842,2017-10-26 09:56:00
